ccm4_0_12_ctrl_domain,ccm4_0_12_ctrl_title,ccm4_0_12_ctrl_id,ccm4_0_12_ctrl_specification,ccm4_0_12_ctrl_question_id,ccm4_0_12_ctrl_consensus_assessments_question,ccm4_0_12_ctrl_caiq_lite
"Supply Chain Management, Transparency, and Accountability",Supply Chain Inventory,STA-07,"Develop and maintain an inventory of all supply chain relationships.
",STA-07.1,"Is an inventory of all supply chain relationships developed and maintained?
",Yes
"Supply Chain Management, Transparency, and Accountability",Supply Chain Risk Management,STA-08,"CSPs periodically review risk factors associated with all organizations
within their supply chain.
",STA-08.1,"Are risk factors associated with all organizations within the supply chain
periodically reviewed by CSPs?
",No
"Supply Chain Management, Transparency, and Accountability",Primary Service and Contractual Agreement,STA-09,"Service agreements between CSPs and CSCs (tenants) must incorporate at least the following mutually-agreed upon provisions and/or terms:
• Scope, characteristics and location of business relationship and services offered
• Information security requirements (including SSRM)
• Change management process
• Logging and monitoring capability
• Incident management and communication procedures
• Right to audit and third party assessment
• Service termination
• Interoperability and portability requirements
• Data privacy
",STA-09.1,"Do service agreements between CSPs and CSCs (tenants) incorporate at least the following mutually agreed upon provisions and/or terms?
• Scope, characteristics, and location of business relationship and services offered
• Information security requirements (including SSRM)
• Change management process
• Logging and monitoring capability
• Incident management and communication procedures
• Right to audit and third-party assessment
• Service termination
• Interoperability and portability requirements
• Data privacy
",No
"Supply Chain Management, Transparency, and Accountability",Supply Chain Agreement Review,STA-10,"Review supply chain agreements between CSPs and CSCs at least annually.
",STA-10.1,"Are supply chain agreements between CSPs and CSCs reviewed at least annually?
",No
"Supply Chain Management, Transparency, and Accountability",Internal Compliance Testing,STA-11,"Define and implement a process for conducting internal assessments
to confirm conformance and effectiveness of standards, policies, procedures,
and service level agreement activities at least annually.
",STA-11.1,"Is there a process for conducting internal assessments at least annually to
confirm the conformance and effectiveness of standards, policies, procedures,
and SLA activities?
",No
"Supply Chain Management, Transparency, and Accountability",Supply Chain Service Agreement Compliance,STA-12,"Implement policies requiring all CSPs throughout the supply chain
to comply with information security, confidentiality, access control, privacy,
audit, personnel policy and service level requirements and standards.
",STA-12.1,"Are policies that require all supply chain CSPs to comply with information
security, confidentiality, access control, privacy, audit, personnel policy, and
service level requirements and standards implemented?
",No
"Supply Chain Management, Transparency, and Accountability",Supply Chain Governance Review,STA-13,"Periodically review the organization's supply chain partners' IT
governance policies and procedures.
",STA-13.1,"Are supply chain partner IT governance policies and procedures reviewed periodically?
",No
"Supply Chain Management, Transparency, and Accountability",Supply Chain Data Security Assessment,STA-14,"Define and implement a process for conducting security assessments
periodically for all organizations within the supply chain.
",STA-14.1,"Is a process to conduct periodic security assessments for all supply chain
organizations defined and implemented?
",No
Threat & Vulnerability Management,Threat and Vulnerability Management Policy and Procedures,TVM-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures to identify, report and prioritize the remediation of
vulnerabilities, in order to protect systems against vulnerability exploitation.
Review and update the policies and procedures at least annually.
",TVM-01.1,"Are policies and procedures established, documented, approved, communicated,
applied, evaluated, and maintained to identify, report, and prioritize the remediation
of vulnerabilities to protect systems against vulnerability exploitation?
",No
Threat & Vulnerability Management,,,,TVM-01.2,"Are threat and vulnerability management policies and procedures reviewed and
updated at least annually?
",No
Threat & Vulnerability Management,Malware Protection Policy and Procedures,TVM-02,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures to protect against malware on managed assets. Review
and update the policies and procedures at least annually.
",TVM-02.1,"Are policies and procedures to protect against malware on managed assets established,
documented, approved, communicated, applied, evaluated, and maintained?
",Yes
Threat & Vulnerability Management,,,,TVM-02.2,"Are asset management and malware protection policies and procedures reviewed
and updated at least annually?
",Yes
Threat & Vulnerability Management,Vulnerability Remediation Schedule,TVM-03,"Define, implement and evaluate processes, procedures and technical
measures to enable both scheduled and emergency responses to vulnerability identifications,
based on the identified risk.
",TVM-03.1,"Are processes, procedures, and technical measures defined, implemented, and
evaluated to enable scheduled and emergency responses to vulnerability identifications
(based on the identified risk)?
",Yes
Threat & Vulnerability Management,Detection Updates,TVM-04,"Define, implement and evaluate processes, procedures and technical
measures to update detection tools, threat signatures, and indicators of compromise
on a weekly, or more frequent basis.
",TVM-04.1,"Are processes, procedures, and technical measures defined, implemented, and
evaluated to update detection tools, threat signatures, and compromise indicators
weekly (or more frequent) basis?
",Yes
Threat & Vulnerability Management,External Library Vulnerabilities,TVM-05,"Define, implement and evaluate processes, procedures and technical
measures to identify updates for applications which use third party or open
source libraries according to the organization's vulnerability management policy.
",TVM-05.1,"Are processes, procedures, and technical measures defined, implemented, and
evaluated to identify updates for applications that use third-party or open-source
libraries (according to the organization's vulnerability management policy)?
",No
Threat & Vulnerability Management,Penetration Testing,TVM-06,"Define, implement and evaluate processes, procedures and technical
measures for the periodic performance of penetration testing by independent
third parties.
",TVM-06.1,"Are processes, procedures, and technical measures defined, implemented, and
evaluated for periodic, independent, third-party penetration testing?
",No
Threat & Vulnerability Management,Vulnerability Identification,TVM-07,"Define, implement and evaluate processes, procedures and technical
measures for the detection of vulnerabilities on organizationally managed assets
at least monthly.
",TVM-07.1,"Are processes, procedures, and technical measures defined, implemented, and
evaluated for vulnerability detection on organizationally managed assets at least
monthly?
",Yes
Threat & Vulnerability Management,Vulnerability Prioritization,TVM-08,"Use a risk-based model for effective prioritization of vulnerability
remediation using an industry recognized framework.
",TVM-08.1,"Is vulnerability remediation prioritized using a risk-based model from an
industry-recognized framework?
",No
Threat & Vulnerability Management,Vulnerability Management Reporting,TVM-09,"Define and implement a process for tracking and reporting vulnerability
identification and remediation activities that includes stakeholder notification.
",TVM-09.1,"Is a process defined and implemented to track and report vulnerability identification
and remediation activities that include stakeholder notification?
",Yes
Threat & Vulnerability Management,Vulnerability Management Metrics,TVM-10,"Establish, monitor and report metrics for vulnerability identification
and remediation at defined intervals.
",TVM-10.1,"Are metrics for vulnerability identification and remediation established,
monitored, and reported at defined intervals?
",No
Universal Endpoint Management,Endpoint Devices Policy and Procedures,UEM-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for all endpoints. Review and update the policies and
procedures at least annually.
",UEM-01.1,"Are policies and procedures established, documented, approved, communicated,
applied, evaluated, and maintained for all endpoints?
",No
Universal Endpoint Management,,,,UEM-01.2,"Are universal endpoint management policies and procedures reviewed and updated
at least annually?
",No
Universal Endpoint Management,Application and Service Approval,UEM-02,"Define, document, apply and evaluate a list of approved services,
applications and sources of applications (stores) acceptable for use by endpoints
when accessing or storing organization-managed data.
",UEM-02.1,"Is there a defined, documented, applicable and evaluated list containing approved
services, applications, and the sources of applications (stores) acceptable for
use by endpoints when accessing or storing organization-managed data?
",Yes
Universal Endpoint Management,Compatibility,UEM-03,"Define and implement a process for the validation of the endpoint
device's compatibility with operating systems and applications.
",UEM-03.1,"Is a process defined and implemented to validate endpoint device compatibility
with operating systems and applications?
",No
Universal Endpoint Management,Endpoint Inventory,UEM-04,"Maintain an inventory of all endpoints used to store and access company
data.
",UEM-04.1,"Is an inventory of all endpoints used and maintained to store and access company
data?
",Yes
Universal Endpoint Management,Endpoint Management,UEM-05,"Define, implement and evaluate processes, procedures and technical
measures to enforce policies and controls for all endpoints permitted to access
systems and/or store, transmit, or process organizational data.
",UEM-05.1,"Are processes, procedures, and technical measures defined, implemented and
evaluated, to enforce policies and controls for all endpoints permitted to access
systems and/or store, transmit, or process organizational data?
",Yes
Universal Endpoint Management,Automatic Lock Screen,UEM-06,"Configure all relevant interactive-use endpoints to require an automatic
lock screen.
",UEM-06.1,"Are all relevant interactive-use endpoints configured to require an automatic
lock screen?
",Yes
Universal Endpoint Management,Operating Systems,UEM-07,"Manage changes to endpoint operating systems, patch levels, and/or
applications through the company's change management processes.
",UEM-07.1,"Are changes to endpoint operating systems, patch levels, and/or applications
managed through the organizational change management process?
",No
Universal Endpoint Management,Storage Encryption,UEM-08,"Protect information from unauthorized disclosure on managed endpoint
devices with storage encryption.
",UEM-08.1,"Is information protected from unauthorized disclosure on managed endpoints
with storage encryption?
",No
Universal Endpoint Management,Anti-Malware Detection and Prevention,UEM-09,"Configure managed endpoints with anti-malware detection and prevention
technology and services.
",UEM-09.1,"Are anti-malware detection and prevention technology services configured on
managed endpoints?
",Yes
Universal Endpoint Management,Software Firewall,UEM-10,"Configure managed endpoints with properly configured software firewalls.
",UEM-10.1,"Are software firewalls configured on managed endpoints?
",Yes
Universal Endpoint Management,Data Loss Prevention,UEM-11,"Configure managed endpoints with Data Loss Prevention (DLP) technologies
and rules in accordance with a risk assessment.
",UEM-11.1,"Are managed endpoints configured with data loss prevention (DLP) technologies
and rules per a risk assessment?
",No
Universal Endpoint Management,Remote Locate,UEM-12,"Enable remote geo-location capabilities for all managed mobile endpoints.
",UEM-12.1,"Are remote geolocation capabilities enabled for all managed mobile endpoints?
",No
Universal Endpoint Management,Remote Wipe,UEM-13,"Define, implement and evaluate processes, procedures and technical
measures to enable the deletion of company data remotely on managed endpoint
devices.
",UEM-13.1,"Are processes, procedures, and technical measures defined, implemented, and
evaluated to enable remote company data deletion on managed endpoint devices?
",Yes
Universal Endpoint Management,Third-Party Endpoint Security Posture,UEM-14,"Define, implement and evaluate processes, procedures and technical
and/or contractual measures to maintain proper security of third-party endpoints
with access to organizational assets.
",UEM-14.1,"Are processes, procedures, and technical and/or contractual measures defined,
implemented, and evaluated to maintain proper security of third-party endpoints
with access to organizational assets?
",No
