ccm4_0_12_ctrl_domain,ccm4_0_12_ctrl_title,ccm4_0_12_ctrl_id,ccm4_0_12_ctrl_specification,ccm4_0_12_ctrl_maps2_aicpa_2017_ctrls,ccm4_0_12_ctrl_maps2_aicpa_2017_gap_level,ccm4_0_12_ctrl_maps2_aicpa_2017_addendum,ccm4_0_12_ctrl_maps2_ccmv3_0_1_ctrls,ccm4_0_12_ctrl_maps2_ccmv3_0_1_gap_level,ccm4_0_12_ctrl_maps2_ccmv3_0_1_addendum,ccm4_0_12_ctrl_maps2_cis_v8_ctrls,ccm4_0_12_ctrl_maps2_cis_v8_gap_level,ccm4_0_12_ctrl_maps2_cis_v8_addendum,ccm4_0_12_ctrl_maps2_isf_sogp_2022_ctrls,ccm4_0_12_ctrl_maps2_isf_sogp_2022_gap_level,ccm4_0_12_ctrl_maps2_isf_sogp_2022_addendum,ccm4_0_12_ctrl_maps2_iso_270xx_pre_2022_ctrls,ccm4_0_12_ctrl_maps2_iso_270xx_pre_2022_gap_level,ccm4_0_12_ctrl_maps2_iso_270xx_pre_2022_addendum,ccm4_0_12_ctrl_maps2_iso_2700x_2022_ctrls,ccm4_0_12_ctrl_maps2_iso_2700x_2022_gap_level,ccm4_0_12_ctrl_maps2_iso_2700x_2022_addendum,ccm4_0_12_ctrl_maps2_nist_800_53r5_ctrls,ccm4_0_12_ctrl_maps2_nist_800_53r5_gap_level,ccm4_0_12_ctrl_maps2_nist_800_53r5_addendum,ccm4_0_12_ctrl_maps2_nist_csf_1_1_ctrls,ccm4_0_12_ctrl_maps2_nist_csf_1_1_gap_level,ccm4_0_12_ctrl_maps2_nist_csf_1_1_addendum,ccm4_0_12_ctrl_maps2_nist_csf_2_0_ctrls,ccm4_0_12_ctrl_maps2_nist_csf_2_0_gap_level,ccm4_0_12_ctrl_maps2_nist_csf_2_0_addendum,ccm4_0_12_ctrl_maps2_pci_dss_v3_2_1_ctrls,ccm4_0_12_ctrl_maps2_pci_dss_v3_2_1_gap_level,ccm4_0_12_ctrl_maps2_pci_dss_v3_2_1_addendum,ccm4_0_12_ctrl_maps2_pci_dss_v4_0_ctrls,ccm4_0_12_ctrl_maps2_pci_dss_v4_0_gap_level,ccm4_0_12_ctrl_maps2_pci_dss_v4_0_addendum
Logging and Monitoring,Access Control Logs,LOG-12,"Monitor and log physical access using an auditable access control
system.
","CC6.4
CC7.2",No Gap,N/A,DCS-08,Partial Gap,"Missing specification(s) in CCMv3.0.1:
'log physical access using an auditable access control system.'",No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,"PE2.3
TM1.3",No Gap,N/A,"27001: A.11.1.2
27002: 11.1.2",No Gap,N/A,"27001: A.7.2
27001: A.7.4",No Gap,N/A,"AU-6
AU-6(6)
AU-14",No Gap,N/A,"PR.PT-1
DE.CM-2
PR.AC-2",No Gap,N/A,"PR.AA-06
PR.PS-04
DE.CM-02",No Gap,N/A,9.1,No Gap,N/A,9.2.1.1,No Gap,N/A
Logging and Monitoring,Failures and Anomalies Reporting,LOG-13,"Define, implement and evaluate processes, procedures and technical
measures for the reporting of anomalies and failures of the monitoring system
and provide immediate notification to the accountable party.
","CC2.3
CC7.3",No Gap,N/A,SEF-03,Partial Gap,"Missing specification(s) in CCMv3.0.1:
'Define, implement and evaluate processes, procedures and technical measures for the reporting of anomalies and failures of the monitoring system'",No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,TM1.3,No Gap,N/A,"27001: A.16.1.1
27002: 16.1.1
27001: A.16.1.2
27017: 16.1.2",No Gap,N/A,"27001: A.5.24
27001: A.6.8
27002: 6.8 (g)",No Gap,N/A,"AU-5
AU-5(2)
AU-6
AU-6(3)
AU-6(4)
AU-6(5)
AU-16",No Gap,N/A,"DE.DP-3
DE.DP-4",No Gap,N/A,"PR.PS-04
DE.AE-06",Partial Gap,Recommend that NIST CSF 2.0 use the full CCM control specification to close the gap. The mapped CSF controls cover in part the high specificity of the CCM control objective.,10.6,No Gap,N/A,"10.4.3
10.7.1
10.7.2
10.7.3",No Gap,N/A
"Security Incident Management, E-Discovery, & Cloud Forensics",Security Incident Management Policy and Procedures,SEF-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for Security Incident Management, E-Discovery, and Cloud
Forensics. Review and update the policies and procedures at least annually.
","CC5.3
CC7.3
CC7.4
CC7.5",Partial Gap,"Missing specification(s) in TSC 2017:
'Cloud Forensics'
'Review and update the policies and procedures at least annually'.","SEF-02
GRM-06
GRM-09",Partial Gap,"Missing specification(s) in CCMv3.0.1:
'policies and procedures for E-Discovery and Cloud Forensics'.
Requirement of 'at least annually' in last sentence.",17.4,Partial Gap,"Missing specification(s) in CISv8:
'Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for E-Discovery, and Cloud Forensics.'","TM2.1
TM2.4",Partial Gap,"Missing specification(s) in SOGP: 
'review and update the policies and procedures at least annually'.","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5
27002: 5
27001: A.16.1
27002: 16.1
27017: 16.1
27018: 16.1",Partial Gap,"Missing specification(s) in ISOs:
Requirement to review and update the policies and procedures at least annually.","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5.1
27001: A.5.4
27001: A.6.8
27001: A.5.24
27001: A.5.25
27001: A.5.26
27001: A.5.27
27001: A.5.28
27001: A.5.37",Partial Gap,"Missing specification(s) in ISOs:
'at least annually (Review)'.","IR-1
IR-2
IR-2(1)
IR-4
IR-4(12)
IR-4(14)
PM-1
PM-12",Partial Gap,"Missing specification(s) in NIST 800-53:
'policies and procedures for E-Discovery'.","ID.GV-1
PR.IP-9
PR.IP-10
RS.CO-4
RS.IM-2",Partial Gap,"Missing specification(s) in the CSF: 
'Review and update the policies and procedures at least annually'.","GV.PO-01
GV.PO-02
ID.IM-02
ID.IM-03
ID.IM-04
RS.MA-01",Partial Gap,"Missing specification(s) in the CSF: 
'document, approve, and maintain policies and procedures'
'policies and procedures for Security Incident Management, E-Discovery, and Cloud Forensics'
'at least annually'.","12.1
12.1.1
12.11",Partial Gap,"Missing specification(s) in PCI DSS:
'approve policies and procedures for Security Incident Management, E-Discovery, and Cloud Forensics'.","12.1.1
12.1.2
12.10.1
12.10.2
12.10.6
12.10.7",Partial Gap,"Missing specification(s) in PCI DSS:
'policies and procedures for Security Incident Management, E-Discovery, and Cloud
Forensics'."
"Security Incident Management, E-Discovery, & Cloud Forensics",Service Management Policy and Procedures,SEF-02,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the timely management of security incidents. Review
and update the policies and procedures at least annually.
","CC5.3
CC7.3
CC7.4",Partial Gap,"Missing specification(s) in TSC 2017:
'Review and update the policies and procedures at least annually'.","SEF-02
GRM-06
GRM-09",Partial Gap,"Missing specification(s) in CCMv3.0.1:
Requirement of 'at least annually' in last sentence.",17.4,No Gap,N/A,TM2.2,Partial Gap,"Missing specification(s) in SOGP: 
'review and update the policies and procedures at least annually'.","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5
27002: 5
27001: A.16.1.2
27002: 16.1.2
27017: 16.1.2
27018: 16.1.2
27001: A.16.1.5
27002: 16.1.5
27017: 16.1.5
27018: 16.1.5",Partial Gap,"Missing specification(s) in ISOs:
Requirement to review and update the policies and procedures at least annually.","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5.1
27001: A.5.4
27001: A.5.26
27001: A.5.37
27001: A.6.8",Partial Gap,"Missing specification(s) in ISOs:
'at least annually (Review)'.","PM-1
PM-6
IR-4
IR-4(6)
IR-4(9)
IR-4(14)",No Gap,N/A,"ID.GV-1
PR.IP-9
DE.AE-5
RS.CO-1
RS.CO-2",Partial Gap,"Missing specification(s) in the CSF: 
'Review and update the policies and procedures at least annually'.","GV.PO-01
GV.PO-02
ID.IM-03
ID.IM-04
RS.CO-02
RS.MA-05
PR.AT-01
RS.MA-03
RS.MA-04
RS.MI-01
RS.MI-02
DE.AE-08",Partial Gap,"Missing specification(s) in the CSF: 
'document, approve, and maintain policies and procedures'
'policies and procedures for management of security incidents'
'at least annually'.","12.1
12.1.1
12.5.3
12.11",Partial Gap,"Missing specification(s) in PCI DSS:
'approve policies and procedures for the timely management of security incidents'.","12.1.1
12.1.2
12.10.1
12.10.2
12.10.3
12.10.6",Partial Gap,"Missing specification(s) in PCI DSS:
'policies and procedures for the timely management of security incidents'."
"Security Incident Management, E-Discovery, & Cloud Forensics",Incident Response Plans,SEF-03,"'Establish, document, approve, communicate, apply, evaluate and maintain
a security incident response plan, which includes but is not limited to: relevant
internal departments, impacted CSCs, and other business critical relationships
(such as supply-chain) that may be impacted.'
","CC7.2
CC7.3
CC7.4",Partial Gap,"Missing specification(s) in TSC 2017:
'business critical relationships (such as supply-chain) that may be
impacted'.",BCR-02,Partial Gap,"Missing specification(s) in CCMv3.0.1:
'Establish, document, approve, communicate, apply,  a security incident response plan, which Include relevant internal departments'","17.2
17.4",No Gap,N/A,TM2.2,No Gap,N/A,"27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: A.16.1.5
27002: 16.1.5
27017: 16.1.5
27017: CLD.12.1.5
27018: 16.1.5",No Gap,N/A,"27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: A.5.26
27002: 5.26 (e,f)",No Gap,N/A,"IR-1
IR-2
IR-2(1)-(3)
IR-3
IR-3(1)-(3)
IR-4
IR-4(1)-(15)
IR-5
IR-5(1)
IR-6
IR-6(1)-(3)
IR-7
IR-7(1)
IR-7(2)
IR-8
IR-8(1)
IR-9
IR-9(1)-(4)
PM-12",No Gap,N/A,"RS.CO-1
RS.CO-4
ID.AM-6
ID.GV-2
ID.SC-5
PR.IP-9
PR.IP10",No Gap,N/A,"PR.AT-01
PR.AT-02
RS.MA-01
GV.SC-08
ID.IM-02
ID.IM-04
RC.RP-01",No Gap,N/A,"12.1
12.10.1",No Gap,N/A,"12.10.1
12.10.5",Partial Gap,"Missing specification(s) in PCI DSS:
'document, approve a security incident response plan'
'impacted CSCs, and other business critical relationships (such as supply-chain)
that may be impacted'."
"Security Incident Management, E-Discovery, & Cloud Forensics",Incident Response Testing,SEF-04,"Test and update as necessary incident response plans at planned intervals
or upon significant organizational or environmental changes for effectiveness.
",CC7.5,No Gap,N/A,BCR-02,No Gap,N/A,17.7,Partial Gap,"Missing specification(s) in CISv8:
'(Test) upon significant organizational or environmental changes for
effectiveness.'",TM2.2,No Gap,N/A,27001: A.18.2.3,Partial Gap,"Missing specification(s) in ISOs:
'incident response plans'.","27001: A.5.36
27002: 5.36",Partial Gap,"Missing specification(s) in ISOs:
'incident response plans'.","IR-2
IR-2(1)-(3)
IR-3
IR-3(1)-(3)
IR-8
IR-9
IR-9(2)",No Gap,N/A,"PR.IP-9
PR.IP-10
ID.SC-5
RS.IM-1
RS.IM-2",Partial Gap,"Missing specification(s) in the CSF: 
'at planned intervals or upon significant organizational or environmental changes'.","ID.IM-01
ID.IM-02
ID.IM-03
ID.IM-04
GV.SC-08
GV.SC-10",Partial Gap,"Missing specification(s) in the CSF: 
'at planned intervals'.","12.10.2
12.10.6",No Gap,N/A,"12.10.2
12.10.6",No Gap,N/A
"Security Incident Management, E-Discovery, & Cloud Forensics",Incident Response Metrics,SEF-05,"Establish and monitor information security incident metrics.
",CC7.2,No Gap,N/A,SEF-05,No Gap,N/A,17.9,No Gap,N/A,"TM1.3
TM2.1
TM2.2",No Gap,N/A,No Mapping,Full Gap,The full V4 control specification is missing from the ISOs and has to be used to close the gap.,"27001: A.5.24
27002: 5.24 (b)",Partial Gap,"Missing specification(s) in ISOs:
'incident metrics'.","CA-7
CA-7(3)
CA-7(4)
IR-5
IR-4
IR-6
IR-6(2)
IR-6(3)
PM-6
PM-31",No Gap,N/A,"RS.CO-2
RS.CO-3",Partial Gap,Recommend that the full CCM control specification is to be used to close the gap. The mapped CSF controls cover in part the high specificity of the CCM control objective.,"DE.AE-02
DE.AE-03
DE.AE-04
DE.AE-06
ID.IM-01
ID.IM-02
ID.IM-04",Partial Gap,Recommend that NIST CSF 2.0 use the full CCM control specification to close the gap. The mapped CSF controls cover in part the high specificity of the CCM control objective.,No Mapping,Full Gap,The full V4 control specification is missing from PCI DSS v3.2.1 and has to be used to close the gap.,No Mapping,Full Gap,The full CCM control specification is missing from the PCI DSS and has to be used to close the gap.
"Security Incident Management, E-Discovery, & Cloud Forensics",Event Triage Processes,SEF-06,"Define, implement and evaluate processes, procedures and technical
measures supporting business processes to triage security-related events.
",CC7.3,No Gap,N/A,SEF-02,No Gap,N/A,No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,TM1.3,No Gap,N/A,"27001: A.16.1.4
27002: 16.1.4
27017: 16.1.4
27018: 16.1.4
27001: A.16.1.5
27002: 16.1.5
27017: 16.1.5
27018: 16.1.5",No Gap,N/A,27001: A.5.25,No Gap,N/A,"CA-7
CA-7(3)
CA-7(4)
CA-7(5)
CA-7(6)
IR-4
IR-4(1)
IR-4(3)
IR-4(4)",No Gap,N/A,"DE.AE-1
DE.AE-2
DE.AE-4
RS.RP-1
RS.AN-2",No Gap,N/A,"RS.MA-02
RS.MA-03
RS.AN-03
DE.AE-02
DE.AE-04
DE.AE-06
DE.AE-07
DE.AE-08
RS.MI-02
RC.RP-02",No Gap,N/A,12.5.2,No Gap,N/A,12.10.1,No Gap,N/A
"Security Incident Management, E-Discovery, & Cloud Forensics",Security Breach Notification,SEF-07,"Define and implement, processes, procedures and technical measures
for security breach notifications. Report security breaches and assumed security
breaches including any relevant supply chain breaches, as per applicable SLAs,
laws and regulations.
","CC7.4
CC7.5",Partial Gap,"Recommend the full V4 control specification to be used to close the gap.
Portion in the mapped control(s) contributing to the partial gap, that
is, covering in part the V4 control:
(CC7.4) 'Develops and Implements Communication Protocols for Security
Incidents'
(CC7.5) 'Communicates Information About the Event'.","SEF-04
STA-05",Partial Gap,"Missing specification(s) in CCMv3.0.1:
'Define and implement, processes, procedures and technical measures for security breach notifications'
'Report assumed security breaches'","17.2
17.3
17.4",Partial Gap,"Missing specification(s) in CISv8:
'Report security breaches and assumed security breaches including any
relevant supply chain breaches, as per applicable SLAs, laws and
regulations'","IM1.3
TM2.1
SC1.3",No Gap,N/A,"27001: A.16.1.1
27002: 16.1.1
27017: 16.1.1
27018: 16.1.1
27001: A.16.1.2
27002: 16.1.2
27017: 16.1.2
27018: 16.1.2
27001: A.16.1.5
27002: 16.1.5
27017: 16.1.5
27018: 16.1.5",Partial Gap,"Missing specification(s) in ISOs:
Requirement to report relevant supply chain breaches.
Requirement to report as per applicable SLAs, laws and regulations.","27001: A.5.19
27001: A.5.22
27001: A.5.23
27001: A.5.24
27001: A.5.26
27001: A.6.8
27002: 5.19 (f)
27002: 5.22 (f,g,h,i)
27002: 5.23 (h)
27002: 5.26 (e)",No Gap,N/A,"AU-13
AU-13(1)-(3)
IR-4
IR-4(15)
IR-6
IR-6(1)-(3)
PM-21
PM-23",No Gap,N/A,"RS.CO-2
RS.CO-3
RS.CO-4",Partial Gap,"Missing specification(s) in the CSF: 
'assumed security breaches'.
'relevant supply chain breaches, as per applicable SLAs, laws and regulations'.","RS.CO-02
RS.CO-03
RS.MA-01
DE.AE-08
GV.SC-08",No Gap,N/A,"12.5.2
12.5.3",No Gap,N/A,12.10.1,Partial Gap,"Recommend that the full CCM control specification is to be used to close the gap.
The mapped PCI DSS control cover in part the high specificity of the CCM control
objective."
"Security Incident Management, E-Discovery, & Cloud Forensics",Points of Contact Maintenance,SEF-08,"Maintain points of contact for applicable regulation authorities,
national and local law enforcement, and other legal jurisdictional authorities.
",CC2.3,No Gap,N/A,SEF-01,No Gap,N/A,17.2,No Gap,N/A,SM2.2,No Gap,N/A,"27001: 4.2
27001: A.6.1.3
27002: 6.1.3
27017: 6.1.3
27018: 6.1.3
27001: A.16.1.1
27002: 16.1.1
27001: A.18.1.1
27002: 18.1.1
27017: 18.1.1
27018: 18.1.1",No Gap,N/A,"27001: A.5.5
27001: A.5.24
27002: 5.24 Incident management procedure (d)",No Gap,N/A,"IR-4
IR-4(8)
IR-6
IR-6(3)
IR-7
IR-7(2)
PM-21
PM-23
PM-26",No Gap,N/A,"ID.GV-2
RS.CO-3
RS.CO-4",Partial Gap,Recommend that the full CCM control specification is to be used to close the gap. The mapped CSF controls cover in part the high specificity of the CCM control objective.,"GV.RR-02
RS.CO-02
RS.CO-03",No Gap,N/A,No Mapping,Full Gap,The full V4 control specification is missing from PCI DSS v3.2.1 and has to be used to close the gap.,12.10.1,Partial Gap,"Missing specification(s) in PCI DSS:
'regulation authorities, national and local law enforcement, and other legal
jurisdictional authorities'."
"Supply Chain Management, Transparency, and Accountability",SSRM Policy and Procedures,STA-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the application of the Shared Security Responsibility
Model (SSRM) within the organization. Review and update the policies and procedures
at least annually.
",No Mapping,Full Gap,The full V4 control specification is missing from TSC 2017 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CCMv3.0.1 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,"SC1.1
SC2.1",Partial Gap,"Missing specification(s) in SOGP: 
'review and update the policies and procedures at least annually'.","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5
27002: 5
27001: A.15.1.1",Partial Gap,"Missing specification(s) in ISOs:
Requirement of a Shared Security Responsibility Model (SSRM).","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5.1
27001: A.5.4
27001: A.5.23
27001: A.5.37
27002: 5.23 (d)",Partial Gap,"Missing specification(s) in ISOs:
'at least annually (Review)'.","SR-1
SR-2
SR-3
SR-5
SA-4
SA-4(1)
SA-4(2)
SA-4(5)
SA-4(9)
SA-4(10)
PM-30",Partial Gap,"Missing specification(s) in NIST 800-53:
'policies and procedures for the application of the Shared Security Responsibility Model (SSRM) within the organization'.","ID.GV-1
ID.BE-1
ID.AM-6",Partial Gap,"Missing specification(s) in the CSF: 
'Document, approve, apply, evaluate and maintain policies and procedures'.
'policies and procedures for the application of the Shared Security Responsibility Model (SSRM) within the organization'. 
'Review and update the policies and procedures at least annually'.","GV.PO-01
GV.PO-02
ID.IM-03
GV.SC-01
GV.SC-02
GV.SC-03
GV.SC-06
GV.SC-07
GV.OC-05
GV.RM-04
GV.RM-05",Partial Gap,"Missing specification(s) in the CSF: 
'document, approve, and maintain policies and procedures'
'policies and procedures for the application of the Shared Security Responsibility Model (SSRM)'
'at least annually'.","12.1
12.1.1
12.4.1
12.8.2
12.11",Partial Gap,"Missing specification(s) in PCI DSS:
'approve policies and procedures for the application of the Shared Security Responsibility Model (SSRM) within the organization'.","12.1.1
12.1.2
12.8.1
12.8.2
12.8.3
12.8.4
12.8.5",Partial Gap,"Missing specification(s) in PCI DSS:
'policies and procedures for the application of the Shared Security Responsibility
Model (SSRM)'."
"Supply Chain Management, Transparency, and Accountability",SSRM Supply Chain,STA-02,"Apply, document, implement and manage the SSRM throughout the supply
chain for the cloud service offering.
",No Mapping,Full Gap,The full V4 control specification is missing from TSC 2017 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CCMv3.0.1 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,"SC1.1
SC2.1",No Gap,N/A,"27001: 6.2
27001: 7.1
27001: 8.1
27001: 8.2
27001: 9.1
27001: 9.3
27001: A.15.1
27001: A.15.2",Partial Gap,"Missing specification(s) in ISOs:
Requirement of a Shared Security Responsibility Model (SSRM).","27001: A.5.20
27001: A.5.22
27001: A 5.23
27002: 5.23 (d)",No Gap,N/A,"SR-1
SR-2
SR-3
SR-3(1)-(3)
SR-5
PM-30",Partial Gap,"Missing specification(s) in NIST 800-53:
'SSRM'.","ID.SC-1
ID.SC-2
ID.SC-3
ID.GV-2
ID.BE-1",No Gap,N/A,"GV.SC-02
GV.SC-05
GV.RR-02",Partial Gap,Recommend that NIST CSF 2.0 use the full CCM control specification to close the gap. The mapped CSF controls cover in part the high specificity of the CCM control objective.,"12.8.2
12.9",No Gap,N/A,"12.8.3
12.8.4
12.8.5",No Gap,N/A
"Supply Chain Management, Transparency, and Accountability",SSRM Guidance,STA-03,"Provide SSRM Guidance to the CSC detailing information about the
SSRM applicability throughout the supply chain.
","CC2.3
CC9.2",Partial Gap,"Missing specification(s) in TSC 2017:
'SSRM' (Mapped controls don't specifically call out SSRM).",No Mapping,Full Gap,The full V4 control specification is missing from CCMv3.0.1 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,SC1.1,No Gap,N/A,"27001: 7.4
27001: 9.1
27001: A.15.1.2
27001: A.15.1.3",Partial Gap,"Missing specification(s) in ISOs:
Requirement of a Shared Security Responsibility Model (SSRM).","27001: 7.4
27001: 9.1
27001: A.5.20
27001: A.5.21
27001: A.5.23
27002: 5.20 (a-z)
27002: 5.21 (a-m)
27002: 5.23 (d)",No Gap,N/A,No Mapping,Full Gap,The full V4 control specification is missing from NIST 800-53r5 and has to be used to close the gap.,ID.SC-3,Partial Gap,Recommend that the full CCM control specification is to be used to close the gap. The mapped CSF controls cover in part the high specificity of the CCM control objective.,"GV.SC-02
GV.SC-05",Partial Gap,Recommend that NIST CSF 2.0 use the full CCM control specification to close the gap. The mapped CSF controls cover in part the high specificity of the CCM control objective.,"12.4.1
12.5.1",No Gap,N/A,"12.8.5
12.9.1
12.9.2",No Gap,N/A
"Supply Chain Management, Transparency, and Accountability",SSRM Control Ownership,STA-04,"Delineate the shared ownership and applicability of all CSA CCM controls
according to the SSRM for the cloud service offering.
",No Mapping,Full Gap,The full V4 control specification is missing from TSC 2017 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CCMv3.0.1 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,"SC2.1
SC2.2",Partial Gap,"Missing specification(s) in SOGP: 
'of all CSA CCM controls'.","27001: 6.2
27001: 7.4
27001: 9.1
27001: A.15.1.2
27001: A.15.2",Partial Gap,"Missing specification(s) in ISOs:
Requirement of a Shared Security Responsibility Model (SSRM).","27001: A.5.23
27002: 5.23 (d)",No Gap,N/A,No Mapping,Full Gap,The full V4 control specification is missing from NIST 800-53r5 and has to be used to close the gap.,"ID.AM-6
ID.BE-1
ID.GV-2
ID.SC-3",Partial Gap,Recommend that the full CCM control specification is to be used to close the gap. The mapped CSF controls cover in part the high specificity of the CCM control objective.,"GV.SC-02
GV.SC-05
GV.OC-05
GV.RR-02",Partial Gap,Recommend that NIST CSF 2.0 use the full CCM control specification to close the gap. The mapped CSF controls cover in part the high specificity of the CCM control objective.,"12.4.1
12.8.2
12.9",No Gap,N/A,12.8.5,No Gap,N/A
"Supply Chain Management, Transparency, and Accountability",SSRM Documentation Review,STA-05,"Review and validate SSRM documentation for all cloud services offerings
the organization uses.
",No Mapping,Full Gap,The full V4 control specification is missing from TSC 2017 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CCMv3.0.1 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,"SC1.1
SC2.1",No Gap,N/A,"27001: 9.1
27001: 9.3
27001: A.15.1.2
27001: A.15.1.3",Partial Gap,"Missing specification(s) in ISOs:
Requirement of a Shared Security Responsibility Model (SSRM).","27001: 9.1
27001: 9.3
27001: A.5.20
27001: A.5.23
27002: 5.23 (d)",No Gap,N/A,"SR-1
SR-2
SR-3
SR-6
SR-6(1)",Partial Gap,"Missing specification(s) in NIST 800-53:
'SSRM'.","ID.SC-1
ID.SC-2",Partial Gap,Recommend that the full CCM control specification is to be used to close the gap. The mapped CSF controls cover in part the high specificity of the CCM control objective.,"GV.SC-02
GV.OC-03
GV.OC-04",Partial Gap,Recommend that NIST CSF 2.0 use the full CCM control specification to close the gap. The mapped CSF controls cover in part the high specificity of the CCM control objective.,"12.1.1
12.8.4
12.8.5",No Gap,N/A,"12.1.1
12.2.1
12.8.4
12.8.5",No Gap,N/A
"Supply Chain Management, Transparency, and Accountability",SSRM Control Implementation,STA-06,"Implement, operate, and audit or assess the portions of the SSRM
which the organization is responsible for.
",No Mapping,Full Gap,The full V4 control specification is missing from TSC 2017 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CCMv3.0.1 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,"SC1.4
SC2.1",Partial Gap,"Missing specification(s) in SOGP: 
'portions of the SSRM which the organization is responsible for'.","27001: 8.1
27001: A.15.1.2
27001: A.15.1.3",Partial Gap,"Missing specification(s) in ISOs:
Requirement of a Shared Security Responsibility Model (SSRM).","27001: 8.1
27001: A.5.20
27001: A.5.21
27001: A.5.22
27001: A.5.23
27002: 5.23 (d)",No Gap,N/A,"SA-4
SA-4(11)
SR-1
SR-2
SR-3
SR-5
SR-6",Partial Gap,"Missing specification(s) in NIST 800-53:
'SSRM'.",ID.SC-1,Partial Gap,Recommend that the full CCM control specification is to be used to close the gap. The mapped CSF controls cover in part the high specificity of the CCM control objective.,"GV.SC-01
GV.SC-02
GV.SC-03
ID.IM-01",Partial Gap,Recommend that NIST CSF 2.0 use the full CCM control specification to close the gap. The mapped CSF controls cover in part the high specificity of the CCM control objective.,"12.5
12.6
12.7
12.8
12.9
12.1",No Gap,N/A,12.8.5,No Gap,N/A
"Supply Chain Management, Transparency, and Accountability",Supply Chain Inventory,STA-07,"Develop and maintain an inventory of all supply chain relationships.
",No Mapping,Full Gap,The full V4 control specification is missing from TSC 2017 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CCMv3.0.1 and has to be used to close the gap.,15.1,No Gap,N/A,SC1.1,No Gap,N/A,"27001: 8.1
27001: A.15.1.2
27001: A.15.1.3",Partial Gap,"Missing specification(s) in ISOs:
Requirement of a Shared Security Responsibility Model (SSRM).","27001: A.5.20
27001: A.5.21
27002: 5.20 Guidance last paragraph
27002: 5.21 (g-h)",No Gap,N/A,"CM-8
CM-8(4)
SR-4
SR-4(1)-(4)",No Gap,N/A,"ID.SC-1
ID.SC-2
ID.AM-4",No Gap,N/A,"GV.SC-04
ID.AM-04",No Gap,N/A,"2.4
12.8.1",No Gap,N/A,"12.5.1
12.8.1",No Gap,N/A
