ccm4_0_12_ctrl_domain,ccm4_0_12_ctrl_title,ccm4_0_12_ctrl_id,ccm4_0_12_ctrl_specification,ccm4_0_12_ctrl_auditing_guidelines
Identity & Access Management,Safeguard Logs Integrity,IAM-12,"Define, implement and evaluate processes, procedures and technical
measures to ensure the logging infrastructure is read-only for all with write
access, including privileged access roles, and that the ability to disable it
is controlled through a procedure that ensures the segregation of duties and
break glass procedures.
","1. Determine if processes, procedures and technical measures are defined for log management.
2. Determine if processes, procedures and technical measures for log management include the following two requirements:
   a. the logging infrastructure is read-only for all with write access, including privileged access roles.
   b. the ability to disable and/or modify logs is controlled following separation of duties and established break glass procedures.
3. Evaluate if the processes, procedures and technical measures for log management are implemented and consistently followed in practice.
"
Identity & Access Management,Uniquely Identifiable Users,IAM-13,"Define, implement and evaluate processes, procedures and technical
measures that ensure users are identifiable through unique IDs or which can
associate individuals to the usage of user IDs.
","1. Determine if processes, procedures and technical measures are defined and require that users are identifiable through unique IDs or by association of individuals to the usage of user IDs.
2. Determine if the established processes, procedures and technical measures are implemented and consistently followed in practice.
"
Identity & Access Management,Strong Authentication,IAM-14,"Define, implement and evaluate processes, procedures and technical
measures for authenticating access to systems, application and data assets,
including multifactor authentication for at least privileged user and sensitive
data access. Adopt digital certificates or alternatives which achieve an equivalent
level of security for system identities.
","1. Determine if processes, procedures and technical measures for authenticating access to systems, applications and sensitive data are defined and maintained.
2. Determine if processes, procedures and technical measures for authenticating access to systems, applications and sensitive data include organization-defined requirements for specific use cases of multifactor authentication, digital certificates and/or alternative security measures.
3. Determine if processes, procedures and technical measures for authenticating access to systems, applications and sensitive data are implemented and consistently followed in practice.
"
Identity & Access Management,Passwords Management,IAM-15,"Define, implement and evaluate processes, procedures and technical
measures for the secure management of passwords.
","1. Determine if processes, procedures and technical measures for the secure management of passwords are defined.
2. Determine if processes, procedures and technical measures for the secure management of passwords are implemented and consistently followed in practice.
"
Identity & Access Management,Authorization Mechanisms,IAM-16,"Define, implement and evaluate processes, procedures and technical
measures to verify access to data and system functions is authorized.
","1. Determine if processes, procedures and technical measures, for verification of access authorization to data and system functions, are defined.
2. Determine if processes, procedures and technical measures, for verification of access authorization to data and system functions, are implemented and consistently followed in practice.
"
Interoperability & Portability,Interoperability and Portability Policy and Procedures,IPY-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for interoperability and portability including
requirements for:
a. Communications between application interfaces
b. Information processing interoperability
c. Application development portability
d. Information/Data exchange, usage, portability, integrity, and persistence
Review and update the policies and procedures at least annually.
","1. Examine policy for adequacy, currency, communication, and effectiveness.
2. Examine the inventory of  documentation that establishes the requirements and communication of this control.
3. Examine policy and procedures for evidence of review at least annually.
"
Interoperability & Portability,Application Interface Availability,IPY-02,"Provide application interface(s) to CSCs so that they programmatically
retrieve their data to enable interoperability and portability.
","1. Examine the list of Application Programming Interfaces (API) available to Cloud Service Consumers.
2. Determine if such list and usable documentation is made available to Cloud Service Consumers.
"
Interoperability & Portability,Secure Interoperability and Portability Management,IPY-03,"Implement cryptographically secure and standardized network protocols
for the management, import and export of data.
","1. Examine the policy for the secure transmission of requests and data.
2. Inspect the requirements, with respect to any security domains defined.
3. Examine the policy that specifies protocols for transmission, with respect to standardization.
"
Interoperability & Portability,Data Portability Contractual Obligations,IPY-04,"Agreements must include provisions specifying CSCs access to data
upon contract termination and will include:
a. Data format
b. Length of time the data will be stored
c. Scope of the data retained and made available to the CSCs
d. Data deletion policy
","1. Examine the standard form of contract for offboarding the Cloud Service Consumers.
2. Determine if non-standard clauses allow the Cloud Service Consumers to waive such rights.
3. Determine if there are requests for data in unsupported formats.
4. Examine the policy regarding deletion of resources no longer in the control of a client, and determine if such policy corresponds to the contractual data retention.
"
Infrastructure & Virtualization Security,Infrastructure and Virtualization Security Policy and Procedures,IVS-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for infrastructure and virtualization security. Review
and update the policies and procedures at least annually.
","1. Interview the team to determine if policy and procedures have been documented.
2. Evaluate the documented policy to determine if it has been approved and communicated to the relevant internal and external teams.
3. Determine if the policy has been applied to the infrastructure and virtualization security operations and if relevant procedures have been drafted.
4. Determine if the procedures are periodically evaluated and if they are maintained, up to date, and relevant.
5. Determine if policy and procedures are reviewed and updated on an annual basis. Policy may contain segregation of environments and roles, change management requirements and continuous exercising.
"
Infrastructure & Virtualization Security,Capacity and Resource Planning,IVS-02,"Plan and monitor the availability, quality, and adequate capacity
of resources in order to deliver the required system performance as determined
by the business.
","1. Determine if the business requirements for system performance are available.
2. Determine if evidence exists that points to planning and monitoring of the availability, quality and capacity of resources.
3. Determine if evidence exists that establishes that the plan is appropriate and adequate to meet the expectations of the business requirements established in the first guideline.
"
Infrastructure & Virtualization Security,Network Security,IVS-03,"Monitor, encrypt and restrict communications between environments
to only authenticated and authorized connections, as justified by the business.
Review these configurations at least annually, and support them by a documented
justification of all allowed services, protocols, ports, and compensating controls.
","1. Examine the policy for communication between environments.
2. Examine the criteria for business justification of communication, and reviews.
3. Determine if the inventory of allowed communication has been reviewed, at least annually.
4. Evaluate the effectiveness of the monitoring and encryption of such communication.
5. Evaluate the details of business justification, and its review.
"
Infrastructure & Virtualization Security,OS Hardening and Base Controls,IVS-04,"Harden host and guest OS, hypervisor or infrastructure control plane
according to their respective best practices, and supported by technical controls,
as part of a security baseline.
","1. Determine if the host and the guest OS has been hardened as per best practices.
2. Determine if the hypervisor or infrastructure control planes are hardened as per best practices.
3. Determine if appropriate technical controls exist that ensure that the hardening is done.
4. Determine if a security baseline has been set up.
5. Determine if the security baseline contains information about the hardening done.
"
Infrastructure & Virtualization Security,Production and Non-Production Environments,IVS-05,"Separate production and non-production environments.
","1. Verify if production and non-production environments are appropriately segregated.
2. Verify if the segregation is reviewed and managed during change management.
3. Verify the classification of data contained in each environment.
"
Infrastructure & Virtualization Security,Segmentation and Segregation,IVS-06,"Design, develop, deploy and configure applications and infrastructures
such that CSP and CSC (tenant) user access and intra-tenant access is appropriately
segmented and segregated, monitored and restricted from other tenants.
","1. Review evidence to verify that the design and development of applications and infrastructure ensure appropriate best practices such as hardening, segmentation, and segregation is incorporated and the shared responsibility model between the CSP and CSC is maintained.
2. Review evidence to verify that the deployment and configuration of applications and infrastructure follow appropriate hardening, segmentation, and segregation is incorporated and the shared responsibility model between the CSP and CSC is maintained.
3. Review evidence to determine that segmentation and segregation is monitored.
4. Review evidence to determine that the tenants are isolated from each other.
"
Infrastructure & Virtualization Security,Migration to Cloud Environments,IVS-07,"Use secure and encrypted communication channels when migrating servers,
services, applications, or data to cloud environments. Such channels must include
only up-to-date and approved protocols.
","1. Examine the list of environments that will be the target of migrations.
2. Examine the criteria for maintaining a list of approved protocols.
3. Examine the records of migrations.
"
Infrastructure & Virtualization Security,Network Architecture Documentation,IVS-08,"Identify and document high-risk environments.
","1. Examine the criteria for identifying high-risk environments.
2. Examine the inventory of high-risk environments, and periodicity of review.
"
Infrastructure & Virtualization Security,Network Defense,IVS-09,"Define, implement and evaluate processes, procedures and defense-in-depth
techniques for protection, detection, and timely response to network-based attacks.
","1. Interview the team to evaluate if they have defined processes and procedures for protection, detection and timely response to address network based attacks.
2. Review evidence to establish that the defined processes and procedures have been implemented.
3. Review evidence to establish that the processes and procedures are evaluated and validated periodically.
4. Review evidence to establish that the processes and procedures are based upon a defense-in-depth.
5. Review evidence to support the effective activation of incident response plans when necessary including the associated communication protocols.
"
Logging and Monitoring,Logging and Monitoring Policy and Procedures,LOG-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for logging and monitoring. Review and update the policies
and procedures at least annually.
","1. Examine policy and procedures for adequacy, approval, communication, and effectiveness as applicable to planning, delivery and support of the organization's logging and monitoring requirements.
2. Examine policy and procedures for evidence of review at least annually.
"
Logging and Monitoring,Audit Logs Protection,LOG-02,"Define, implement and evaluate processes, procedures and technical
measures to ensure the security and retention of audit logs.
","1. Examine the organization’s log retention requirements.
2. Evaluate the policy and technical measures with respect to effectiveness.
"
Logging and Monitoring,Security Monitoring and Alerting,LOG-03,"Identify and monitor security-related events within applications
and the underlying infrastructure. Define and implement a system to generate
alerts to responsible stakeholders based on such events and corresponding metrics.
","1. Examine policy related to the security monitoring and alerting, and determine if security-related events within applications and the underlying infrastructure are identified.
2. Examine processes related to identifying responsible stakeholders for the purpose of alerting.
3. Evaluate the implementation with respect to effectiveness, and conduct a review of metrics.
"
Logging and Monitoring,Audit Logs Access and Accountability,LOG-04,"Restrict audit logs access to authorized personnel and maintain records
that provide unique access accountability.
","1. Examine policy related to the protection of log information.
2. Determine if the control requirements stipulated in the policy have been implemented.
3. Examine policy related to the maintenance of access records.
"
Logging and Monitoring,Audit Logs Monitoring and Response,LOG-05,"Monitor security audit logs to detect activity outside of typical
or expected patterns. Establish and follow a defined process to review and take
appropriate and timely actions on detected anomalies.
","1. Examine policy for the monitoring of audit logs.
2. Determine if policy and patterns have been established for anomalous activities.
3. Examine policy for the review of, and timely action on anomalies.
"
Logging and Monitoring,Clock Synchronization,LOG-06,"Use a reliable time source across all relevant information processing
systems.
","1. Examine policy that establishes the time scale and epoch, or traceability, of time across systems.
2. Evaluate the process that ensures synchronization of time on relevant systems.
"
Logging and Monitoring,Logging Scope,LOG-07,"Establish, document and implement which information meta/data system
events should be logged. Review and update the scope at least annually or whenever
there is a change in the threat environment.
","1. Examine policy for the identification of loggable events, applications, or systems. 
2. Examine the outputs of such identification, with respect to review and approval.
3. Examine scope for evidence of review at least annually.
"
Logging and Monitoring,Log Records,LOG-08,"Generate audit records containing relevant security information.
","1. Examine policy related to audit logging and determine if it includes requirements to generate audit records containing relevant security information.
2. Examine audit records and determine if they adequately reflect the policy.
"
Logging and Monitoring,Log Protection,LOG-09,"The information system protects audit records from unauthorized access,
modification, and deletion.
","1. Examine policy for the protection of audit records.
2. Evaluate the use of technical measures in the protection of audit records.
"
Logging and Monitoring,Encryption Monitoring and Reporting,LOG-10,"Establish and maintain a monitoring and internal reporting capability
over the operations of cryptographic, encryption and key management policies,
processes, procedures, and controls.
","1. Examine policy related to the monitoring and reporting of operations of cryptographic policy.
2. Examine the process to identify such a policy.
3. Evaluate the effectiveness of such reporting capability.
"
Logging and Monitoring,Transaction/Activity Logging,LOG-11,"Log and monitor key lifecycle management events to enable auditing
and reporting on usage of cryptographic keys.
","1. Examine policy for logging and monitoring usage of cryptographic key usage lifecycle events.
2. Examine the process to identify such events.
3. Evaluate the review of these logs.
"
Logging and Monitoring,Access Control Logs,LOG-12,"Monitor and log physical access using an auditable access control
system.
","1. Examine policy for logging and monitoring physical access.
2. Examine the process to identify such events.
3. Evaluate the review of these logs.
"
Logging and Monitoring,Failures and Anomalies Reporting,LOG-13,"Define, implement and evaluate processes, procedures and technical
measures for the reporting of anomalies and failures of the monitoring system
and provide immediate notification to the accountable party.
","1. Examine the policy for reporting of anomalies and failures  of the monitoring system.
2. Examine the process for identifying accountable parties.
"
"Security Incident Management, E-Discovery, & Cloud Forensics",Security Incident Management Policy and Procedures,SEF-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for Security Incident Management, E-Discovery, and Cloud
Forensics. Review and update the policies and procedures at least annually.
","1. Examine policy for adequacy, approval, communication, and effectiveness as applicable to planning, delivery and support of the organization’s Security Incident Management, E-Discovery and Cloud Forensics.
2. Examine policy and procedures for evidence of review at least annually.
"
"Security Incident Management, E-Discovery, & Cloud Forensics",Service Management Policy and Procedures,SEF-02,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the timely management of security incidents. Review
and update the policies and procedures at least annually.
","1. Examine the policy for adequacy, approval, communication, and effectiveness as applicable to planning, delivery and support of the organization’s Security Incident Management, with respect to timely management.
2. Examine the policy and procedures for evidence of review at least annually.
"
"Security Incident Management, E-Discovery, & Cloud Forensics",Incident Response Plans,SEF-03,"'Establish, document, approve, communicate, apply, evaluate and maintain
a security incident response plan, which includes but is not limited to: relevant
internal departments, impacted CSCs, and other business critical relationships
(such as supply-chain) that may be impacted.'
","1. Examine the policy for adequacy, approval, communication, and effectiveness as applicable to planning, delivery and support of the organization’s Security Incident Management, with respect to timely management.
2. Examine the processes to identify  impacted stakeholders.
3. Determine if this plan meets stakeholder requirements.
"
"Security Incident Management, E-Discovery, & Cloud Forensics",Incident Response Testing,SEF-04,"Test and update as necessary incident response plans at planned intervals
or upon significant organizational or environmental changes for effectiveness.
","1. Verify if there is a calendar of exercises available, if exercises are performed at planned intervals and when there are significant changes within the organization or the context in which it operates.
2. Verify if the organization has reviewed and acted upon the results of its exercising and testing to implement changes and improvements.
"
"Security Incident Management, E-Discovery, & Cloud Forensics",Incident Response Metrics,SEF-05,"Establish and monitor information security incident metrics.
","1. Verify that metrics have been established to measure information security incidents.
2. Verify that metrics together demonstrate the efficacy, effectiveness and success of the information security incident response plan to address incidents as they happen.
3. Verify that the metrics are measured and reported to stakeholders.
"
"Security Incident Management, E-Discovery, & Cloud Forensics",Event Triage Processes,SEF-06,"Define, implement and evaluate processes, procedures and technical
measures supporting business processes to triage security-related events.
","1. Verify if operational processes that help the organization to prepare for, identify, detect, protect, respond to and recover from information security incidents in a step-by-step manner exist.
2. Verify if tools that support these organizational procedures to triage security related events complement the ability of the teams to detect, review, monitor and quickly decide upon the context and the possible impact of the incident as it happens and over time.
"
"Security Incident Management, E-Discovery, & Cloud Forensics",Security Breach Notification,SEF-07,"Define and implement, processes, procedures and technical measures
for security breach notifications. Report security breaches and assumed security
breaches including any relevant supply chain breaches, as per applicable SLAs,
laws and regulations.
","1. Examine policy for adequacy, approval, communication, and effectiveness as applicable to planning, delivery and support of the organization’s Security Breach Notification management.
2. Verify if there is a formal program that documents the breach notification requirements for all regulatory or contractual domains that the organization asserts adherence to.
3. Verify if there is a periodic awareness program to ensure all those associated with information security incident response are aware of the procedures involved for their roles, responsibilities and authorities.
4. Determine if the organization has established breach notification Time Objectives for information security breaches that meet the minimum expectation of the applicable regulation and verify if those time objectives are reflected in all internal and external service level expectations.
"
"Security Incident Management, E-Discovery, & Cloud Forensics",Points of Contact Maintenance,SEF-08,"Maintain points of contact for applicable regulation authorities,
national and local law enforcement, and other legal jurisdictional authorities.
","1. Examine the process used to determine applicable points of contact, and the procedure for reviewing the list/documentation that contains them.
2. Verify if the organization has updated the list of  points of contact for applicable regulation authorities, national and local law enforcement, and other legal jurisdictional authorities.
3. Examine when the last updates were done and if there is a schedule for reviewing and updating these contacts.
"
"Supply Chain Management, Transparency, and Accountability",SSRM Policy and Procedures,STA-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the application of the Shared Security Responsibility
Model (SSRM) within the organization. Review and update the policies and procedures
at least annually.
","1. Examine policy for adequacy, approval, communication, currency, and effectiveness.
2. Examine policy and procedures for evidence of review at least annually.
"
"Supply Chain Management, Transparency, and Accountability",SSRM Supply Chain,STA-02,"Apply, document, implement and manage the SSRM throughout the supply
chain for the cloud service offering.
","1. Examine the policy for provisions related to service delivery.
2. Evaluate the process for communication of requirements and service levels to vendors and other third-parties.
3. Determine if a review of effectiveness is in place, especially with respect to contractual requirements.
"
"Supply Chain Management, Transparency, and Accountability",SSRM Guidance,STA-03,"Provide SSRM Guidance to the CSC detailing information about the
SSRM applicability throughout the supply chain.
","1. Examine whether SSRM guidance documentation has been approved by management and communicated to CSCs.
2. Examine the process for review of SSRM Guidance if required.

 (Note: This control applies to an Organization that is in the role of a CSP).
"
"Supply Chain Management, Transparency, and Accountability",SSRM Control Ownership,STA-04,"Delineate the shared ownership and applicability of all CSA CCM controls
according to the SSRM for the cloud service offering.
","1. Examine the policy for assessing, demarcating, and documenting the interfaces at the edges of the organization’s responsibility.
2. Determine if the delineation has been done, and is current.
3. Examine the process for communicating the security responsibility boundaries to third-parties.
"
"Supply Chain Management, Transparency, and Accountability",SSRM Documentation Review,STA-05,"Review and validate SSRM documentation for all cloud services offerings
the organization uses.
","1. Examine the policy for assessing, demarcating, and documenting the interfaces at the edges of the Organization’s responsibility.
2. Examine the process for validating the boundaries for cloud services used.
3. Examine the process for validating the seamlessness of controls for cloud services used.

 (Note: This control applies to an Organization that is in the role of a CSC).
"
"Supply Chain Management, Transparency, and Accountability",SSRM Control Implementation,STA-06,"Implement, operate, and audit or assess the portions of the SSRM
which the organization is responsible for.
","1. Examine the policy related to addressing security in third-party agreements and determine if organizations employ formal contracts.
2. Determine if written procedures exist for addressing security in third-party agreements and whether or not the procedure(s) address(es) each element of the policy/control requirement(s) stipulated in the policy level.
3. Examine relevant documentation, observe relevant processes, and/or interview the control owner(s), and/or relevant stakeholders, as needed, for addressing security in third-party agreements and determine if the policy/control requirements stipulated in the policy level have been implemented.
4. Examine measure(s) that evaluate(s) the organization's compliance with the third-party management policy and determine if the measure(s) address(es) implementation of the policy/control requirement(s) as stipulated in the policy level.
"
"Supply Chain Management, Transparency, and Accountability",Supply Chain Inventory,STA-07,"Develop and maintain an inventory of all supply chain relationships.
","1. Determine if there is an inventory maintained of all supply chain relationships.
2. Establish ownership for maintaining this inventory.
3. Examine the inventory's records to establish whether CSP/CSC relationships are maintained in this inventory.
4. Determine whether this inventory is subject to review.
"
"Supply Chain Management, Transparency, and Accountability",Supply Chain Risk Management,STA-08,"CSPs periodically review risk factors associated with all organizations
within their supply chain.
","1. Examine the policy related to identification of risks related to external parties and determine if the organization conducts due diligence of the external party.
2. Determine if the policy/control requirements stipulated in the policy level have been implemented.
3. Determine the periodicity of review of risk factors.
"
"Supply Chain Management, Transparency, and Accountability",Primary Service and Contractual Agreement,STA-09,"Service agreements between CSPs and CSCs (tenants) must incorporate at least the following mutually-agreed upon provisions and/or terms:
• Scope, characteristics and location of business relationship and services offered
• Information security requirements (including SSRM)
• Change management process
• Logging and monitoring capability
• Incident management and communication procedures
• Right to audit and third party assessment
• Service termination
• Interoperability and portability requirements
• Data privacy
","1. Examine the policy for inclusion of the Control in third party agreements.
2. Examine the policy related to the review of third-party services to determine if the organization incorporates compliance by third parties.
"
"Supply Chain Management, Transparency, and Accountability",Supply Chain Agreement Review,STA-10,"Review supply chain agreements between CSPs and CSCs at least annually.
","1. Determine if a documented review schedule of CSP-CSC supply chain agreements exists on an annual basis and is operating.
2. Examine the organization's implementation of its third-party management policy.
"
"Supply Chain Management, Transparency, and Accountability",Internal Compliance Testing,STA-11,"Define and implement a process for conducting internal assessments
to confirm conformance and effectiveness of standards, policies, procedures,
and service level agreement activities at least annually.
","1. Examine the process for determining the standards and policy that service level agreements must conform to.
2. Examine the process to determine contractual, legal, and technical requirements applicable to service level agreements.
3. Determine if internal assessments are defined, planned, and executed, at least annually.
"
"Supply Chain Management, Transparency, and Accountability",Supply Chain Service Agreement Compliance,STA-12,"Implement policies requiring all CSPs throughout the supply chain
to comply with information security, confidentiality, access control, privacy,
audit, personnel policy and service level requirements and standards.
","1. Examine the policy for incorporation of requirements into contractual documents throughout the CSP’s supply chain.
2. Determine if requirements have been incorporated in contracts.
3. Evaluate if the right to audit is protected, where required.
"
"Supply Chain Management, Transparency, and Accountability",Supply Chain Governance Review,STA-13,"Periodically review the organization's supply chain partners' IT
governance policies and procedures.
","1. Examine the policy for  review of supply chain partners governance of IT.
2. Determine if the right to review is incorporated contractually.
3. Evaluate whether such a review cycle is operating within the organization.
"
"Supply Chain Management, Transparency, and Accountability",Supply Chain Data Security Assessment,STA-14,"Define and implement a process for conducting security assessments
periodically for all organizations within the supply chain.
","1. Examine the policy related to the security assessments of the supply chain.
2. Examine the policy related to identification of risks related to external parties.
3. Determine if procedures exist for identification of risks related to external parties
4. Evaluate evidence of the conduct of assessments of organizations within the supply chain, periodically as required by the policy.
"
Threat & Vulnerability Management,Threat and Vulnerability Management Policy and Procedures,TVM-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures to identify, report and prioritize the remediation of
vulnerabilities, in order to protect systems against vulnerability exploitation.
Review and update the policies and procedures at least annually.
","1. Examine policy for adequacy, currency, communication, and effectiveness. 
2. Examine policy and procedures for evidence of review at least annually.
"
Threat & Vulnerability Management,Malware Protection Policy and Procedures,TVM-02,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures to protect against malware on managed assets. Review
and update the policies and procedures at least annually.
","1. Examine policy for adequacy, currency, communication, and effectiveness. 
2. Examine policy and procedures for evidence of review at least annually.
"
Threat & Vulnerability Management,Vulnerability Remediation Schedule,TVM-03,"Define, implement and evaluate processes, procedures and technical
measures to enable both scheduled and emergency responses to vulnerability identifications,
based on the identified risk.
","1. Examine policy for adequacy, currency, and effectiveness. 
2. Determine if technical measures are evaluated for effectiveness.
"
Threat & Vulnerability Management,Detection Updates,TVM-04,"Define, implement and evaluate processes, procedures and technical
measures to update detection tools, threat signatures, and indicators of compromise
on a weekly, or more frequent basis.
","1. Examine policy for adequacy, currency, and effectiveness. 
2. Determine if technical measures are evaluated for effectiveness.
3. Determine if updates and reviews of indicators are conducted at least weekly.
"
Threat & Vulnerability Management,External Library Vulnerabilities,TVM-05,"Define, implement and evaluate processes, procedures and technical
measures to identify updates for applications which use third party or open
source libraries according to the organization's vulnerability management policy.
","1. Examine policy for adequacy, currency, and effectiveness. 
2. Determine if a process exists to identify third-party libraries, and to evaluate their impact on the organization’s vulnerability management. 
"
Threat & Vulnerability Management,Penetration Testing,TVM-06,"Define, implement and evaluate processes, procedures and technical
measures for the periodic performance of penetration testing by independent
third parties.
","1. Examine policy for adequacy, currency, and effectiveness. 
2. Determine if the process for defining frequency of penetration testing is defined.
3. Determine if the process for selection of independent third parties is defined, and evaluated.
"
Threat & Vulnerability Management,Vulnerability Identification,TVM-07,"Define, implement and evaluate processes, procedures and technical
measures for the detection of vulnerabilities on organizationally managed assets
at least monthly.
","1. Examine policy for adequacy, currency, and effectiveness. 
2. Determine if vulnerability detection is undertaken as required, and at least monthly.
"
Threat & Vulnerability Management,Vulnerability Prioritization,TVM-08,"Use a risk-based model for effective prioritization of vulnerability
remediation using an industry recognized framework.
","1. Examine policy and procedures related to prioritization of vulnerabilities detected.  
2. Determine if an industry recognized or widely used framework is implemented.
3. Examine how the output of risk assessment of the vulnerabilities is used to inform prioritization of remediation.
4. Determine if the process is evaluated for effectiveness.
"
Threat & Vulnerability Management,Vulnerability Management Reporting,TVM-09,"Define and implement a process for tracking and reporting vulnerability
identification and remediation activities that includes stakeholder notification.
","1. Examine policy and procedures related to tracking and reporting of vulnerabilities.  
2. Examine the process to identify stakeholders.
3. Determine if the process is implemented.
"
Threat & Vulnerability Management,Vulnerability Management Metrics,TVM-10,"Establish, monitor and report metrics for vulnerability identification
and remediation at defined intervals.
","1. Verify that metrics have been established to measure vulnerabilities.
2. Examine the process for reporting metrics, including identification of recipients.
3. Determine if reports are sent at the defined intervals.
"
Universal Endpoint Management,Endpoint Devices Policy and Procedures,UEM-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for all endpoints. Review and update the policies and
procedures at least annually.
","1. Examine policy for adequacy, currency, communication, and effectiveness.
2. Examine policy and procedures for evidence of review, at least annually.
"
Universal Endpoint Management,Application and Service Approval,UEM-02,"Define, document, apply and evaluate a list of approved services,
applications and sources of applications (stores) acceptable for use by endpoints
when accessing or storing organization-managed data.
","1. Determine if a list of approved services, applications and sources of applications (stores) acceptable for use by endpoints when accessing or storing organization-managed data have been identified and documented.
2. Determine if the identified and documented list of approved services, applications and sources of applications (stores) acceptable for use by endpoints when accessing or storing organization-managed data have been enforced.
3. Examine how endpoints are monitored for unauthorized services and the process to remove or terminate use of non-sanctioned resources.
"
Universal Endpoint Management,Compatibility,UEM-03,"Define and implement a process for the validation of the endpoint
device's compatibility with operating systems and applications.
","1. Examine the process for endpoint compatibility validation.
2. Determine if the process produces a published compatibility matrix.
"
Universal Endpoint Management,Endpoint Inventory,UEM-04,"Maintain an inventory of all endpoints used to store and access company
data.
","1. Examine the asset register, with reference to endpoints.
2. Determine if endpoints that store and access company data are tagged and included in the asset inventory.
"
Universal Endpoint Management,Endpoint Management,UEM-05,"Define, implement and evaluate processes, procedures and technical
measures to enforce policies and controls for all endpoints permitted to access
systems and/or store, transmit, or process organizational data.
","1. Examine procedures for adequacy, currency, communication, and effectiveness.
2. Determine the extent and applicability of the processes, procedures, and technical measures over applicable endpoints, as identified.
3. Examine policy and procedures for evidence of review, with respect to effectiveness.
"
Universal Endpoint Management,Automatic Lock Screen,UEM-06,"Configure all relevant interactive-use endpoints to require an automatic
lock screen.
","1. Determine the organization's definition of interactive-use endpoints.
2. Examine the processes and technical measures in place to enforce automatic lock screens.
"
Universal Endpoint Management,Operating Systems,UEM-07,"Manage changes to endpoint operating systems, patch levels, and/or
applications through the company's change management processes.
","1. Examine the organization's change management policy for controls related to changes on endpoints.
2. Determine if such controls are in place for making changes to production and infrastructure systems and if the controls are evaluated as effective.
"
Universal Endpoint Management,Storage Encryption,UEM-08,"Protect information from unauthorized disclosure on managed endpoint
devices with storage encryption.
","1. Examine the organization's asset disposal policy for end-of-life security requirements.
2. Examine the organization's policy on encryption or otherwise protection of data at rest on endpoints.
3. Determine if such controls are in place and evaluated as effective.
"
Universal Endpoint Management,Anti-Malware Detection and Prevention,UEM-09,"Configure managed endpoints with anti-malware detection and prevention
technology and services.
","1. Examine the organization's anti-malware policy.
2. Determine if such controls are in place and evaluated as effective.
"
Universal Endpoint Management,Software Firewall,UEM-10,"Configure managed endpoints with properly configured software firewalls.
","1. Examine the organization's software firewall and other endpoint network protection policy.
2. Examine the policy on configuration of such controls.
3. Determine if such controls are in place and evaluated as effective.
"
Universal Endpoint Management,Data Loss Prevention,UEM-11,"Configure managed endpoints with Data Loss Prevention (DLP) technologies
and rules in accordance with a risk assessment.
","1. Examine the organization's data loss policy.
2. Examine the policies on configuration of such controls.
3. Determine if such controls are driven by risk assessments.
4. Determine if such controls are in place and evaluated as effective.
"
Universal Endpoint Management,Remote Locate,UEM-12,"Enable remote geo-location capabilities for all managed mobile endpoints.
","1. Examine the organization's remote geo-location for managed mobile endpoints policy.
2. Determine if such controls are in place.
"
Universal Endpoint Management,Remote Wipe,UEM-13,"Define, implement and evaluate processes, procedures and technical
measures to enable the deletion of company data remotely on managed endpoint
devices.
","1. Examine procedures for adequacy, currency, communication, and effectiveness.
2. Determine the extent and applicability of the processes, procedures, and technical measures over managed endpoints, as identified.
3. Examine policy and procedures for evidence of review, with respect to effectiveness.
"
Universal Endpoint Management,Third-Party Endpoint Security Posture,UEM-14,"Define, implement and evaluate processes, procedures and technical
and/or contractual measures to maintain proper security of third-party endpoints
with access to organizational assets.
","1. Examine procedures for adequacy, currency, communication, and effectiveness.
2. Determine the organization's definition of third-party endpoints.
3. Determine the extent and applicability of the processes, procedures, and technical measures over third-party endpoints.
4. Examine policy and procedures for evidence of review, with respect to effectiveness.
"
