sp800_53b_ctrl_id,sp800_53b_ctrl_domain,sp800_53b_ctrl_title,sp800_53b_ctrl_withdrawn,sp800_53b_baseline_privacy,sp800_53b_security_baseline_low,sp800_53b_security_baseline_moderate,sp800_53b_security_baseline_high
PM-22,Program Management,Personally Identifiable Information Quality Management,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-23,Program Management,Data Governance Body,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-24,Program Management,Data Integrity Board,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-25,Program Management,"Minimization of Personally Identifiable Information Used in Testing, Training, and Research",,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-26,Program Management,Complaint Management,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-27,Program Management,Privacy Reporting,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-28,Program Management,Risk Framing,,x,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-29,Program Management,Risk Management Program Leadership Roles,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-30,Program Management,Supply Chain Risk Management Strategy,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-30(1),Program Management,Supply Chain Risk Management Strategy | Suppliers of Critical or Mission-essential Items,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-31,Program Management,Continuous Monitoring Strategy,,x,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-32,Program Management,Purposing,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PS-1,Personnel Security,Policy and Procedures,,,x,x,x
PS-2,Personnel Security,Position Risk Designation,,,x,x,x
PS-3,Personnel Security,Personnel Screening,,,x,x,x
PS-3(1),Personnel Security,Personnel Screening | Classified Information,,,,,
PS-3(2),Personnel Security,Personnel Screening | Formal Indoctrination,,,,,
PS-3(3),Personnel Security,Personnel Screening | Information with Special Protective Measures,,,,,
PS-3(4),Personnel Security,Personnel Screening | Citizenship Requirements,,,,,
PS-4,Personnel Security,Personnel Termination,,,x,x,x
PS-4(1),Personnel Security,Personnel Termination | Post-employment Requirements,,,,,
PS-4(2),Personnel Security,Personnel Termination | Automated Actions,,,,,x
PS-5,Personnel Security,Personnel Transfer,,,x,x,x
PS-6,Personnel Security,Access Agreements,,x,x,x,x
PS-6(1),Personnel Security,Access Agreements | Information Requiring Special Protection,W: Incorporated into PS-3.,,,,
PS-6(2),Personnel Security,Access Agreements | Classified Information Requiring Special Protection,,,,,
PS-6(3),Personnel Security,Access Agreements | Post-employment Requirements,,,,,
PS-7,Personnel Security,External Personnel Security,,,x,x,x
PS-8,Personnel Security,Personnel Sanctions,,,x,x,x
PS-9,Personnel Security,Position Descriptions,,,x,x,x
PT-1,Processing Transparency,Policy and Procedures,,x ,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-2,Processing Transparency,Authority to Process Personally Identifiable Information,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-2(1),Processing Transparency,Authority to Process Personally Identifiable Information | Data Tagging,,,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-2(2),Processing Transparency,Authority to Process Personally Identifiable Information | Automation,,,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-3,Processing Transparency,Personally Identifiable Information Processing Purposes,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-3(1),Processing Transparency,Personally Identifiable Information Processing Purposes | Data Tagging,,,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-3(2),Processing Transparency,Personally Identifiable Information Processing Purposes | Automation,,,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-4,Processing Transparency,Consent,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-4(1),Processing Transparency,Consent | Tailored Consent,,,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-4(2),Processing Transparency,Consent | Just-in-time Consent,,,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-4(3),Processing Transparency,Consent | Revocation,,,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-5,Processing Transparency,Privacy Notice,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-5(1),Processing Transparency,Privacy Notice | Just-in-time Notice,,,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-5(2),Processing Transparency,Privacy Notice | Privacy Act Statements,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-6,Processing Transparency,System of Records Notice,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-6(1),Processing Transparency,System of Records Notice | Routine Uses,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-6(2),Processing Transparency,System of Records Notice | Exemption Rules,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-7,Processing Transparency,Specific Categories of Personally Identifiable Information,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-7(1),Processing Transparency,Specific Categories of Personally Identifiable Information | Social Security Numbers,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-7(2),Processing Transparency,Specific Categories of Personally Identifiable Information | First Amendment Information,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
PT-8,Processing Transparency,Computer Matching Requirements,,x,Not allocated to security control baselines,Not allocated to security control baselines,Not allocated to security control baselines
RA-1,Risk Assessment,Policy and Procedures,,x ,x,x,x
RA-2,Risk Assessment,Security Categorization,,,x,x,x
RA-2(1),Risk Assessment,Security Categorization | Impact-level Prioritization,,,,,
RA-3,Risk Assessment,Risk Assessment,,x ,x,x,x
RA-3(1),Risk Assessment,Risk Assessment | Supply Chain Risk Assessment,,,x,x ,x
RA-3(2),Risk Assessment,Risk Assessment | Use of All-source Intelligence,,,,,
RA-3(3),Risk Assessment,Risk Assessment | Dynamic Threat Awareness,,,,,
RA-3(4),Risk Assessment,Risk Assessment | Predictive Cyber Analytics,,,,,
RA-4,Risk Assessment,Risk Assessment Update,W: Incorporated into RA-3,,,,
RA-5,Risk Assessment,Vulnerability Monitoring and Scanning,,,x,x,x
RA-5(1),Risk Assessment,Vulnerability Monitoring and Scanning | Update Tool Capability,W: Incorporated into RA-5.,,,,
RA-5(2),Risk Assessment,Vulnerability Monitoring and Scanning | Update Vulnerabilities to Be Scanned,,,x,x,x
RA-5(3),Risk Assessment,Vulnerability Monitoring and Scanning | Breadth and Depth of Coverage,,,,,
RA-5(4),Risk Assessment,Vulnerability Monitoring and Scanning | Discoverable Information,,,,,x
RA-5(5),Risk Assessment,Vulnerability Monitoring and Scanning | Privileged Access,,,,x,x
RA-5(6),Risk Assessment,Vulnerability Monitoring and Scanning | Automated Trend Analyses,,,,,
RA-5(7),Risk Assessment,Vulnerability Monitoring and Scanning | Automated Detection and Notification of Unauthorized Components,W: Incorporated into CM-8.,,,,
RA-5(8),Risk Assessment,Vulnerability Monitoring and Scanning | Review Historic Audit Logs,,,,,
RA-5(9),Risk Assessment,Vulnerability Monitoring and Scanning | Penetration Testing and Analyses,W: Incorporated into CA-8,,,,
RA-5(10),Risk Assessment,Vulnerability Monitoring and Scanning | Correlate Scanning Information,,,,,
RA-5(11),Risk Assessment,Vulnerability Monitoring and Scanning | Public Disclosure Program,,,x,x,x
RA-6,Risk Assessment,Technical Surveillance Countermeasures Survey,,,,,
RA-7,Risk Assessment,Risk Response,,x ,x,x,x
RA-8,Risk Assessment,Privacy Impact Assessments,,x ,,,
RA-9,Risk Assessment,Criticality Analysis,,,,x,x
RA-10,Risk Assessment,Threat Hunting,,,,,
SA-1,System and Services Acquisition,Policy and Procedures,,x ,x,x,x
SA-2,System and Services Acquisition,Allocation of Resources,,x,x,x,x
SA-3,System and Services Acquisition,System Development Life Cycle,,x,x,x,x
SA-3(1),System and Services Acquisition,System Development Life Cycle | Manage Preproduction Environment,,,,,
SA-3(2),System and Services Acquisition,System Development Life Cycle | Use of Live or Operational Data,,,,,
SA-3(3),System and Services Acquisition,System Development Life Cycle | Technology Refresh,,,,,
SA-4,System and Services Acquisition,Acquisition Process,,x ,x,x,x
SA-4(1),System and Services Acquisition,Acquisition Process | Functional Properties of Controls,,,,x,x
SA-4(2),System and Services Acquisition,Acquisition Process | Design and Implementation Information for Controls,,,,x,x
SA-4(3),System and Services Acquisition,"Acquisition Process | Development Methods, Techniques, and Practices",,,,,
SA-4(4),System and Services Acquisition,Acquisition Process | Assignment of Components to Systems,W: Incorporated into CM-8(9).,,,,
SA-4(5),System and Services Acquisition,"Acquisition Process | System, Component, and Service Configurations",,,,,x
SA-4(6),System and Services Acquisition,Acquisition Process | Use of Information Assurance Products,,,,,
SA-4(7),System and Services Acquisition,Acquisition Process | NIAP-approved Protection Profiles,,,,,
SA-4(8),System and Services Acquisition,Acquisition Process | Continuous Monitoring Plan for Controls,,,,,
SA-4(9),System and Services Acquisition,"Acquisition Process | Functions, Ports, Protocols, and Services in Use",,,,x,x
SA-4(10),System and Services Acquisition,Acquisition Process | Use of Approved PIV Products,,,x,x,x
SA-4(11),System and Services Acquisition,Acquisition Process | System of Records,,,,,
SA-4(12),System and Services Acquisition,Acquisition Process | Data Ownership,,,,,
SA-5,System and Services Acquisition,System Documentation,,,x,x,x
SA-5(1),System and Services Acquisition,System Documentation | Functional Properties of Security Controls,W: Incorporated into SA-4(1).,,,,
SA-5(2),System and Services Acquisition,System Documentation | Security-relevant External System Interfaces,W: Incorporated into SA-4(2).,,,,
SA-5(3),System and Services Acquisition,System Documentation | High-level Design,W: Incorporated into SA-4(2).,,,,
SA-5(4),System and Services Acquisition,System Documentation | Low-level Design,W: Incorporated into SA-4(2).,,,,
SA-5(5),System and Services Acquisition,System Documentation | Source Code,W: Incorporated into SA-4(2).,,,,
SA-6,System and Services Acquisition,Software Usage Restrictions,W: Incorporated into CM-10 and SI-7.,,,,
SA-7,System and Services Acquisition,User-installed Software,W: Incorporated into CM-11 and SI-7.,,,,
SA-8,System and Services Acquisition,Security and Privacy Engineering Principles,,,x,x,x
SA-8(1),System and Services Acquisition,Security and Privacy Engineering Principles | Clear Abstractions,,,,,
SA-8(2),System and Services Acquisition,Security and Privacy Engineering Principles | Least Common Mechanism,,,,,
SA-8(3),System and Services Acquisition,Security and Privacy Engineering Principles | Modularity and Layering,,,,,
SA-8(4),System and Services Acquisition,Security and Privacy Engineering Principles | Partially Ordered Dependencies,,,,,
SA-8(5),System and Services Acquisition,Security and Privacy Engineering Principles | Efficiently Mediated Access,,,,,
SA-8(6),System and Services Acquisition,Security and Privacy Engineering Principles | Minimized Sharing,,,,,
SA-8(7),System and Services Acquisition,Security and Privacy Engineering Principles | Reduced Complexity,,,,,
SA-8(8),System and Services Acquisition,Security and Privacy Engineering Principles | Secure Evolvability,,,,,
SA-8(9),System and Services Acquisition,Security and Privacy Engineering Principles | Trusted Components,,,,,
SA-8(10),System and Services Acquisition,Security and Privacy Engineering Principles | Hierarchical Trust,,,,,
SA-8(11),System and Services Acquisition,Security and Privacy Engineering Principles | Inverse Modification Threshold,,,,,
SA-8(12),System and Services Acquisition,Security and Privacy Engineering Principles | Hierarchical Protection,,,,,
SA-8(13),System and Services Acquisition,Security and Privacy Engineering Principles | Minimized Security Elements,,,,,
SA-8(14),System and Services Acquisition,Security and Privacy Engineering Principles | Least Privilege,,,,,
SA-8(15),System and Services Acquisition,Security and Privacy Engineering Principles | Predicate Permission,,,,,
SA-8(16),System and Services Acquisition,Security and Privacy Engineering Principles | Self-reliant Trustworthiness,,,,,
SA-8(17),System and Services Acquisition,Security and Privacy Engineering Principles | Secure Distributed Composition,,,,,
SA-8(18),System and Services Acquisition,Security and Privacy Engineering Principles | Trusted Communications Channels,,,,,
SA-8(19),System and Services Acquisition,Security and Privacy Engineering Principles | Continuous Protection,,,,,
SA-8(20),System and Services Acquisition,Security and Privacy Engineering Principles | Secure Metadata Management,,,,,
SA-8(21),System and Services Acquisition,Security and Privacy Engineering Principles | Self-analysis,,,,,
SA-8(22),System and Services Acquisition,Security and Privacy Engineering Principles | Accountability and Traceability,,,,,
SA-8(23),System and Services Acquisition,Security and Privacy Engineering Principles | Secure Defaults,,,,,
SA-8(24),System and Services Acquisition,Security and Privacy Engineering Principles | Secure Failure and Recovery,,,,,
SA-8(25),System and Services Acquisition,Security and Privacy Engineering Principles | Economic Security,,,,,
SA-8(26),System and Services Acquisition,Security and Privacy Engineering Principles | Performance Security,,,,,
SA-8(27),System and Services Acquisition,Security and Privacy Engineering Principles | Human Factored Security,,,,,
SA-8(28),System and Services Acquisition,Security and Privacy Engineering Principles | Acceptable Security,,,,,
SA-8(29),System and Services Acquisition,Security and Privacy Engineering Principles | Repeatable and Documented Procedures,,,,,
SA-8(30),System and Services Acquisition,Security and Privacy Engineering Principles | Procedural Rigor,,,,,
SA-8(31),System and Services Acquisition,Security and Privacy Engineering Principles | Secure System Modification,,,,,
SA-8(32),System and Services Acquisition,Security and Privacy Engineering Principles | Sufficient Documentation,,,,,
SA-8(33),System and Services Acquisition,Security and Privacy Engineering Principles | Minimization,,x,,,
SA-9,System and Services Acquisition,External System Services,,x ,x,x,x
SA-9(1),System and Services Acquisition,External System Services | Risk Assessments and Organizational Approvals,,,,,
SA-9(2),System and Services Acquisition,"External System Services | Identification of Functions, Ports, Protocols, and Services",,,,x,x
SA-9(3),System and Services Acquisition,External System Services | Establish and Maintain Trust Relationship with Providers,,,,,
SA-9(4),System and Services Acquisition,External System Services | Consistent Interests of Consumers and Providers,,,,,
SA-9(5),System and Services Acquisition,"External System Services | Processing, Storage, and Service Location",,,,,
SA-9(6),System and Services Acquisition,External System Services | Organization-controlled Cryptographic Keys,,,,,
SA-9(7),System and Services Acquisition,External System Services | Organization-controlled Integrity Checking,,,,,
SA-9(8),System and Services Acquisition,External System Services | Processing and Storage Location — U.S. Jurisdiction,,,,,
SA-10,System and Services Acquisition,Developer Configuration Management,,,,x,x
SA-10(1),System and Services Acquisition,Developer Configuration Management | Software and Firmware Integrity Verification,,,,,
SA-10(2),System and Services Acquisition,Developer Configuration Management | Alternative Configuration Management,,,,,
SA-10(3),System and Services Acquisition,Developer Configuration Management | Hardware Integrity Verification,,,,,
SA-10(4),System and Services Acquisition,Developer Configuration Management | Trusted Generation,,,,,
SA-10(5),System and Services Acquisition,Developer Configuration Management | Mapping Integrity for Version Control,,,,,
SA-10(6),System and Services Acquisition,Developer Configuration Management | Trusted Distribution,,,,,
SA-10(7),System and Services Acquisition,Developer Configuration Management | Security and Privacy Representatives,,,,,
SA-11,System and Services Acquisition,Developer Testing and Evaluation,,x,,x,x
SA-11(1),System and Services Acquisition,Developer Testing and Evaluation | Static Code Analysis,,,,,
SA-11(2),System and Services Acquisition,Developer Testing and Evaluation | Threat Modeling and Vulnerability Analyses,,,,,
SA-11(3),System and Services Acquisition,Developer Testing and Evaluation | Independent Verification of Assessment Plans and Evidence,,,,,
SA-11(4),System and Services Acquisition,Developer Testing and Evaluation | Manual Code Reviews,,,,,
SA-11(5),System and Services Acquisition,Developer Testing and Evaluation | Penetration Testing,,,,,
SA-11(6),System and Services Acquisition,Developer Testing and Evaluation | Attack Surface Reviews,,,,,
SA-11(7),System and Services Acquisition,Developer Testing and Evaluation | Verify Scope of Testing and Evaluation,,,,,
SA-11(8),System and Services Acquisition,Developer Testing and Evaluation | Dynamic Code Analysis,,,,,
SA-11(9),System and Services Acquisition,Developer Testing and Evaluation | Interactive Application Security Testing,,,,,
SA-12,System and Services Acquisition,Supply Chain Protection,W: Moved to SR Family,,,,
SA-12(1),System and Services Acquisition,Supply Chain Protection | Acquisition Strategies / Tools / Methods,W: Moved to SR-5.,,,,
SA-12(2),System and Services Acquisition,Supply Chain Protection | Supplier Reviews,W: Moved to SR-6.,,,,
SA-12(3),System and Services Acquisition,Supply Chain Protection | Trusted Shipping and Warehousing,W: Incorporated into SR-3.,,,,
SA-12(4),System and Services Acquisition,Supply Chain Protection | Diversity of Suppliers,W: Moved to SR-3(1).,,,,
SA-12(5),System and Services Acquisition,Supply Chain Protection | Limitation of Harm,W: Moved to SR-3(2).,,,,
SA-12(6),System and Services Acquisition,Supply Chain Protection | Minimizing Procurement Time,W: Incorporated into SR-5(1).,,,,
SA-12(7),System and Services Acquisition,Supply Chain Protection | Assessments Prior to Selection / Acceptance / Update,W: Moved to SR-5(2).,,,,
SA-12(8),System and Services Acquisition,Supply Chain Protection | Use of All-source Intelligence,W: Incorporated into RA-3(2).,,,,
SA-12(9),System and Services Acquisition,Supply Chain Protection | Operations Security,W: Moved to SR-7.,,,,
SA-12(10),System and Services Acquisition,Supply Chain Protection | Validate as Genuine and Not Altered,W: Moved to SR-4(3).,,,,
SA-12(11),System and Services Acquisition,"Supply Chain Protection | Penetration Testing / Analysis of Elements, Processes, and Actors",W: Moved to SR-6(1).,,,,
SA-12(12),System and Services Acquisition,Supply Chain Protection | Inter-organizational Agreements,W: Moved to SR-8.,,,,
SA-12(13),System and Services Acquisition,Supply Chain Protection | Critical Information System Components,W: Incorporated into MA-6 and RA-9.,,,,
SA-12(14),System and Services Acquisition,Supply Chain Protection | Identity and Traceability,W: Moved to SR-4(1) and SR-4(2).,,,,
SA-12(15),System and Services Acquisition,Supply Chain Protection | Processes to Address Weaknesses or Deficiencies,W: Incorporated into SR-3.,,,,
SA-13,System and Services Acquisition,Trustworthiness,W: Incorporated into SA-8.,,,,
SA-14,System and Services Acquisition,Criticality Analysis,W: Incorporated into RA-9.,,,,
SA-14(1),System and Services Acquisition,Criticality Analysis | Critical Components with No Viable Alternative Sourcing,W: Incorporated into SA-20.,,,,
SA-15,System and Services Acquisition,"Development Process, Standards, and Tools",,,,x,x
SA-15(1),System and Services Acquisition,"Development Process, Standards, and Tools | Quality Metrics",,,,,
SA-15(2),System and Services Acquisition,"Development Process, Standards, and Tools | Security and Privacy Tracking Tools",,,,,
SA-15(3),System and Services Acquisition,"Development Process, Standards, and Tools | Criticality Analysis",,,,x,x
SA-15(4),System and Services Acquisition,"Development Process, Standards, and Tools | Threat Modeling and Vulnerability Analysis",W: Incorporated into SA-11(2).,,,,
SA-15(5),System and Services Acquisition,"Development Process, Standards, and Tools | Attack Surface Reduction",,,,,
SA-15(6),System and Services Acquisition,"Development Process, Standards, and Tools | Continuous Improvement",,,,,
SA-15(7),System and Services Acquisition,"Development Process, Standards, and Tools | Automated Vulnerability Analysis",,,,,
SA-15(8),System and Services Acquisition,"Development Process, Standards, and Tools | Reuse of Threat and Vulnerability Information",,,,,
SA-15(9),System and Services Acquisition,"Development Process, Standards, and Tools | Use of Live Data",W: Incorporated into SA-3(2).,,,,
SA-15(10),System and Services Acquisition,"Development Process, Standards, and Tools | Incident Response Plan",,,,,
SA-15(11),System and Services Acquisition,"Development Process, Standards, and Tools | Archive System or Component",,,,,
SA-15(12),System and Services Acquisition,"Development Process, Standards, and Tools | Minimize Personally Identifiable Information",,,,,
SA-16,System and Services Acquisition,Developer-provided Training,,,,,x
SA-17,System and Services Acquisition,Developer Security and Privacy Architecture and Design,,,,,x
SA-17(1),System and Services Acquisition,Developer Security and Privacy Architecture and Design | Formal Policy Model,,,,,
SA-17(2),System and Services Acquisition,Developer Security and Privacy Architecture and Design | Security-relevant Components,,,,,
SA-17(3),System and Services Acquisition,Developer Security and Privacy Architecture and Design | Formal Correspondence,,,,,
SA-17(4),System and Services Acquisition,Developer Security and Privacy Architecture and Design | Informal Correspondence,,,,,
SA-17(5),System and Services Acquisition,Developer Security and Privacy Architecture and Design | Conceptually Simple Design,,,,,
SA-17(6),System and Services Acquisition,Developer Security and Privacy Architecture and Design | Structure for Testing,,,,,
SA-17(7),System and Services Acquisition,Developer Security and Privacy Architecture and Design | Structure for Least Privilege,,,,,
SA-17(8),System and Services Acquisition,Developer Security and Privacy Architecture and Design | Orchestration,,,,,
SA-17(9),System and Services Acquisition,Developer Security and Privacy Architecture and Design | Design Diversity,,,,,
SA-18,System and Services Acquisition,Tamper Resistance and Detection,W: Moved to SR-9.,,,,
SA-18(1),System and Services Acquisition,Tamper Resistance and Detection | Multiple Phases of System Development Life Cycle,W: Moved to SR-9(1).,,,,
SA-18(2),System and Services Acquisition,Tamper Resistance and Detection | Inspection of Systems or Components,W: Moved to SR-10.,,,,
SA-19,System and Services Acquisition,Component Authenticity,W: Moved to SR-11.,,,,
SA-19(1),System and Services Acquisition,Component Authenticity | Anti-counterfeit Training,W: Moved to SR-11(1).,,,,
SA-19(2),System and Services Acquisition,Component Authenticity | Configuration Control for Component Service and Repair,W: Moved to SR-11(2).,,,,
SA-19(3),System and Services Acquisition,Component Authenticity | Component Disposal,W: Moved to SR-12.,,,,
SA-19(4),System and Services Acquisition,Component Authenticity | Anti-counterfeit Scanning,W: Moved to SR-11(3).,,,,
SA-20,System and Services Acquisition,Customized Development of Critical Components,,,,,
SA-21,System and Services Acquisition,Developer Screening,,,,,x
SA-21(1),System and Services Acquisition,Developer Screening | Validation of Screening,W: Incorporated into SA-21.,,,,
SA-22,System and Services Acquisition,Unsupported System Components,,,x,x,x
SA-22(1),System and Services Acquisition,Unsupported System Components | Alternative Sources for Continued Support,W: Incorporated into SA-22.,,,,
SA-23,System and Services Acquisition,Specialization,,,,,
SC-1,System and Communication Protection,Policy and Procedures,,,x,x,x
SC-2,System and Communication Protection,Separation of System and User Functionality,,,,x,x
SC-2(1),System and Communication Protection,Separation of System and User Functionality | Interfaces for Non-privileged Users,,,,,
SC-2(2),System and Communication Protection,Separation of System and User Functionality | Disassociability,,,,,
SC-3,System and Communication Protection,Security Function Isolation,,,,,x
SC-3(1),System and Communication Protection,Security Function Isolation | Hardware Separation,,,,,
SC-3(2),System and Communication Protection,Security Function Isolation | Access and Flow Control Functions,,,,,
SC-3(3),System and Communication Protection,Security Function Isolation | Minimize Nonsecurity Functionality,,,,,
SC-3(4),System and Communication Protection,Security Function Isolation | Module Coupling and Cohesiveness,,,,,
SC-3(5),System and Communication Protection,Security Function Isolation | Layered Structures,,,,,
SC-4,System and Communication Protection,Information in Shared System Resources,,,,x,x
SC-4(1),System and Communication Protection,Information in Shared System Resources | Security Levels,W: Incorporated into SC-4.,,,,
SC-4(2),System and Communication Protection,Information in Shared System Resources | Multilevel or Periods Processing,,,,,
SC-5,System and Communication Protection,Denial-of-service Protection,,,x,x,x
SC-5(1),System and Communication Protection,Denial-of-service Protection | Restrict Ability to Attack Other Systems,,,,,
SC-5(2),System and Communication Protection,"Denial-of-service Protection | Capacity, Bandwidth, and Redundancy",,,,,
SC-5(3),System and Communication Protection,Denial-of-service Protection | Detection and Monitoring,,,,,
SC-6,System and Communication Protection,Resource Availability,,,,,
SC-7,System and Communication Protection,Boundary Protection,,,x,x,x
SC-7(1),System and Communication Protection,Boundary Protection | Physically Separated Subnetworks,W: Incorporated into SC-7.,,,,
SC-7(2),System and Communication Protection,Boundary Protection | Public Access,W: Incorporated into SC-7.,,,,
SC-7(3),System and Communication Protection,Boundary Protection | Access Points,,,,x,x
SC-7(4),System and Communication Protection,Boundary Protection | External Telecommunications Services,,,,x,x
SC-7(5),System and Communication Protection,Boundary Protection | Deny by Default — Allow by Exception,,,,x,x
SC-7(6),System and Communication Protection,Boundary Protection | Response to Recognized Failures,W: Incorporated into SC-7(18).,,,,
SC-7(7),System and Communication Protection,Boundary Protection | Split Tunneling for Remote Devices,,,,x,x
SC-7(8),System and Communication Protection,Boundary Protection | Route Traffic to Authenticated Proxy Servers,,,,x,x
SC-7(9),System and Communication Protection,Boundary Protection | Restrict Threatening Outgoing Communications Traffic,,,,,
SC-7(10),System and Communication Protection,Boundary Protection | Prevent Exfiltration,,,,,
SC-7(11),System and Communication Protection,Boundary Protection | Restrict Incoming Communications Traffic,,,,,
SC-7(12),System and Communication Protection,Boundary Protection | Host-based Protection,,,,,
SC-7(13),System and Communication Protection,"Boundary Protection | Isolation of Security Tools, Mechanisms, and Support Components",,,,,
SC-7(14),System and Communication Protection,Boundary Protection | Protect Against Unauthorized Physical Connections,,,,,
SC-7(15),System and Communication Protection,Boundary Protection | Networked Privileged Accesses,,,,,
SC-7(16),System and Communication Protection,Boundary Protection | Prevent Discovery of System Components,,,,,
SC-7(17),System and Communication Protection,Boundary Protection | Automated Enforcement of Protocol Formats,,,,,
SC-7(18),System and Communication Protection,Boundary Protection | Fail Secure,,,,,x
SC-7(19),System and Communication Protection,Boundary Protection | Block Communication from Non-organizationally Configured Hosts,,,,,
SC-7(20),System and Communication Protection,Boundary Protection | Dynamic Isolation and Segregation,,,,,
SC-7(21),System and Communication Protection,Boundary Protection | Isolation of System Components,,,,,x
SC-7(22),System and Communication Protection,Boundary Protection | Separate Subnets for Connecting to Different Security Domains,,,,,
SC-7(23),System and Communication Protection,Boundary Protection | Disable Sender Feedback on Protocol Validation Failure,,,,,
SC-7(24),System and Communication Protection,Boundary Protection | Personally Identifiable Information,,x,,,
SC-7(25),System and Communication Protection,Boundary Protection | Unclassified National Security System Connections,,,,,
SC-7(26),System and Communication Protection,Boundary Protection | Classified National Security System Connections,,,,,
SC-7(27),System and Communication Protection,Boundary Protection | Unclassified Non-national Security System Connections,,,,,
SC-7(28),System and Communication Protection,Boundary Protection | Connections to Public Networks,,,,,
SC-7(29),System and Communication Protection,Boundary Protection | Separate Subnets to Isolate Functions,,,,,
SC-8,System and Communication Protection,Transmission Confidentiality and Integrity,,,,x,x
SC-8(1),System and Communication Protection,Transmission Confidentiality and Integrity | Cryptographic Protection,,,,x,x
SC-8(2),System and Communication Protection,Transmission Confidentiality and Integrity | Pre- and Post-transmission Handling,,,,,
SC-8(3),System and Communication Protection,Transmission Confidentiality and Integrity | Cryptographic Protection for Message Externals,,,,,
SC-8(4),System and Communication Protection,Transmission Confidentiality and Integrity | Conceal or Randomize Communications,,,,,
SC-8(5),System and Communication Protection,Transmission Confidentiality and Integrity | Protected Distribution System,,,,,
SC-9,System and Communication Protection,Transmission Confidentiality,W: Incorporated into SC-8.,,,,
SC-10,System and Communication Protection,Network Disconnect,,,,x,x
SC-11,System and Communication Protection,Trusted Path,,,,,
SC-11(1),System and Communication Protection,Trusted Path | Irrefutable Communications Path,,,,,
SC-12,System and Communication Protection,Cryptographic Key Establishment and Management,,,x,x,x
SC-12(1),System and Communication Protection,Cryptographic Key Establishment and Management | Availability,,,,,x
SC-12(2),System and Communication Protection,Cryptographic Key Establishment and Management | Symmetric Keys,,,,,
SC-12(3),System and Communication Protection,Cryptographic Key Establishment and Management | Asymmetric Keys,,,,,
SC-12(4),System and Communication Protection,Cryptographic Key Establishment and Management | PKI Certificates,W: Incorporated into SC-12(3).,,,,
SC-12(5),System and Communication Protection,Cryptographic Key Establishment and Management | PKI Certificates / Hardware Tokens,W: Incorporated into SC-12(3).,,,,
SC-12(6),System and Communication Protection,Cryptographic Key Establishment and Management | Physical Control of Keys,,,,,
SC-13,System and Communication Protection,Cryptographic Protection,,,x,x,x
SC-13(1),System and Communication Protection,Cryptographic Protection | FIPS-validated Cryptography,W: Incorporated into SC-13.,,,,
SC-13(2),System and Communication Protection,Cryptographic Protection | NSA-approved Cryptography,W: Incorporated into SC-13.,,,,
